"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1505","合并更新","合并更新","closed","","fqyee","2017-08-24T03:03:21Z","2017-08-24T06:42:22Z"
"","20933","Upgrade to Reactor Netty 0.8 [SPR-16387]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16387](https://jira.spring.io/browse/SPR-16387?redirect=false)** and commented  The upgrade brings API changes but that should be transparent to applications aside from the required dependency upgrade.  ---  **Affects:** 5.0.2  **Issue Links:** - #20824 Let netty webclient optionally follow redirects (_**""is depended on by""**_) - #20776 Allow configuration for DEFAULT_FRAME_MAX_SIZE of WebSocketSession on WebFlux with Netty (_**""is depended on by""**_) - #20931 Upgrade to Reactor Core 3.1.3 (including Reactive Streams 1.0.2) - #20932 Upgrade to Reactor Core 3.2 - #22055 ReactorNettyTcpClient constructor with callback to initialize TcpClient  **Referenced from:** pull request https://github.com/spring-projects/spring-framework/pull/1831, and commits https://github.com/spring-projects/spring-framework/commit/a3216432b5b86e1e42110af1738ea66bdd58b163, https://github.com/spring-projects/spring-framework/commit/ffbc75ae47936c8668c55332e5b70142279f64ac, https://github.com/spring-projects/spring-framework/commit/72b1d4c648b11db499c2a4e48ceccc9985ca7345","closed","type: task,","spring-projects-issues","2018-01-16T18:49:31Z","2019-01-11T15:15:47Z"
"","20800","Byte related decoders should implement decodeToMono [SPR-16253]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16253](https://jira.spring.io/browse/SPR-16253?redirect=false)** and commented  ByteBufferDecoder, ByteArrayDecoder, and DataBufferDecoder all rely on the default implementation of decodeToMono which raises UnsupportedOperationException. That means a controller method cannot declare `@RequestBody` with `byte[]` for example, or likewise when using the WebClient. Those scenarios are perfectly valid, they rely on an explicit declaration, and should be work. This is also inconsistent with StringDecoder which does implement decodeToMono.    ---  **Affects:** 5.0.2  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/f4d8c7cc2b6e3add1b1b06dc487cce82dceb4a49","closed","type: enhancement,","spring-projects-issues","2017-12-01T14:34:32Z","2018-01-23T10:05:11Z"
"","20755","Review Publisher adapters for reading and writing [SPR-16207]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16207](https://jira.spring.io/browse/SPR-16207?redirect=false)** and commented  1. As a follow-up to PR 1596 (https://github.com/spring-projects/spring-framework/pull/1596), let's review the suspend/resume related functionality in the sub-classes of AbstractListenerReadPublisher and decide if that needs to be exposed/present in the base class.  2. Address race conditions identified as part of a related review.    ---  **Affects:** 5.0.2","closed","type: task,","spring-projects-issues","2017-11-16T15:24:35Z","2017-11-27T12:17:08Z"
"","20752","Support for autowire-candidate with @Bean [SPR-16204]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16204](https://jira.spring.io/browse/SPR-16204?redirect=false)** and commented  XML bean declarations support this attribute but not `@Bean` declarations. The need for this has come up in #20737 and now also #20751.  ---  **Affects:** 5.0.1  **Issue Links:** - #20737 WebSocketConfigurationSupport.defaultSockJsTaskScheduler adds NoOpScheduler to context that is not usable in any way (_**""is depended on by""**_) - #20751 Warn about use of SimpleAsyncTaskExecutor for async requests (_**""is depended on by""**_) - #13043 Support disabling `@Autowired` on a per-`@Bean` basis - #21572 Consistent non-exposure of null beans in the BeanFactory API - #21814 Deprecate autowire attribute on `@Bean` annotation  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/fc699b2b3784413bb7348b8c2a92eb2ab871479f","closed","type: enhancement,","spring-projects-issues","2017-11-15T23:45:45Z","2019-01-13T04:59:53Z"
"","20751","Warn about use of SimpleAsyncTaskExecutor for async requests [SPR-16203]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16203](https://jira.spring.io/browse/SPR-16203?redirect=false)** and commented  The Spring MVC Java config and XML namespace allow configuring an `AsyncTaskExecutor` originally used for `java.util.concurrent.Callable` return values and by default a `SimpleAsyncTaskExecutor` is used with the recommendation to configure a task executor with a thread pool for use under load.   Now that the same executor is also used for blocking writes when streaming with `Flux` or `Observable`, we should warn more proactively about this in the logs.   ---  **Affects:** 5.0.1  **Issue Links:** - #20752 Support for autowire-candidate with `@Bean` (_**""depends on""**_) - #20737 WebSocketConfigurationSupport.defaultSockJsTaskScheduler adds NoOpScheduler to context that is not usable in any way - #20943 [doc] Update documentation on WebAsyncManager thread pool  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/4b861aeae60952bb94e486e7d97e723eca048f0c, https://github.com/spring-projects/spring-framework/commit/7b3a72f48346b5aa270750dae6b75a0d57fef3d9, https://github.com/spring-projects/spring-framework/commit/7ea8ecb6abccdec0b4183c27f5f314e21314f204","closed","type: enhancement,","spring-projects-issues","2017-11-15T23:42:40Z","2019-01-13T05:00:14Z"
"","20735","NPE in ErrorsMethodArgumentResolver [SPR-16187]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16187](https://jira.spring.io/browse/SPR-16187?redirect=false)** and commented  This is based on a Spring Boot ticket https://github.com/spring-projects/spring-boot/issues/10950. The specific use case that led to the NPE is a `BindingResult` argument after an `@RequestBody` which is not supported.   ---  **Affects:** 5.0.1  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/ff97eafa4f39411a68a1632f7218158287546457","closed","type: bug,","spring-projects-issues","2017-11-10T15:55:43Z","2017-11-27T12:17:09Z"
"","20703","Support prefix-based Servlet path mapping in ServletHttpHandlerAdapter [SPR-16155]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16155](https://jira.spring.io/browse/SPR-16155?redirect=false)** and commented  ---  **Affects:** 5.0.1  **Issue Links:** - #20691 ""No matching handler"" when override method getServletMapping() in AbstractAnnotationConfigDispatcherHandlerInitializer"" (_**""supersedes""**_)  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/4534c5fbfc283f840314419a90640a43e66af9cd, https://github.com/spring-projects/spring-framework/commit/8c33ed02b33c0b708958cf05919740bef9a94e16","closed","type: enhancement,","spring-projects-issues","2017-11-02T20:36:49Z","2019-01-11T13:27:40Z"
"","20693","Improve ReactorNettyTcpClient shutdown logic [SPR-16145]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16145](https://jira.spring.io/browse/SPR-16145?redirect=false)** and commented  Take care of the TODOs in the shutdown method and test.   ---  **Affects:** 5.0.1  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/abe4420006d244140d9d4efd0c31756b13951e76","closed","type: enhancement,","spring-projects-issues","2017-11-01T17:47:34Z","2017-11-27T12:17:08Z"
"","20682","Create builder for multipart bodies [SPR-16134]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16134](https://jira.spring.io/browse/SPR-16134?redirect=false)** and commented  It would be useful to support more explicitly the case of creating an `HttpEntity` in order to provide a part with headers in multipart request, e.g. a `PartHttpEntity` sub-class. Such a class could provide a builder similar to those in RequestEntity but by comparison the use case here can make the assumptions and for example a body can always be expected along with a content type.  This was first raised in #20666 (WebTestClient) but would also help for WebClient and RestTemplate scenarios.  ---  **Affects:** 5.0.1  This issue is a sub-task of #20666  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/2d1f87501c043fc58200ce4d1b0f544f8ad04619","closed","type: task,","spring-projects-issues","2017-10-30T18:21:31Z","2019-01-11T13:14:35Z"
"","20681","Chained API for form and multipart data in BodyInserters [SPR-16133]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16133](https://jira.spring.io/browse/SPR-16133?redirect=false)** and commented  The ability to build the form inline:  ```java BodyInserters.fromFormData(""a"", ""a1"").param(""b"", ""b1"", ""b2"") ```  Or multipart data:  ```java BodyInserters.fromMultipartData(""foo"", new Foo()).param(""b"", new HttpEntity(...)) ```  Each call to param returns an inserter that's ready for use, either by creating a new one with the additional parameter, or by modifying the existing one.  ---  **Affects:** 5.0.1  This issue is a sub-task of #20666  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/a58002a5dee402fc005b5544d41e5f83b3bbea34","closed","type: task,","spring-projects-issues","2017-10-30T18:11:40Z","2019-01-11T13:14:30Z"
"","20668","PathContainer-based implementation of extractPathWithinPattern [SPR-16120]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16120](https://jira.spring.io/browse/SPR-16120?redirect=false)** and commented  The `extractPathWithinPattern` in `PathPattern` takes `PathContainer` as input and output but internally it still delegates to an `AntPathMatcher` based implementation that takes String as input and returns the same as output.  This is largely an internal affair to make it more consistent and efficient as the rest of `PathPattern` but another important reason is to fix the behavior with regards to trimming and stripping trailing slashes to be consistent with the rest of `PathPattern`.   ---  **Affects:** 5.0.1  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/508aea8a47b69ac11426a6cedd9ddd9f93117ad2","closed","type: enhancement,","spring-projects-issues","2017-10-26T13:17:00Z","2017-11-27T12:17:08Z"
"","20594","Refactor the Appendix section in the reference documentation [SPR-16045]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16045](https://jira.spring.io/browse/SPR-16045?redirect=false)** and commented  The Appendix used to have links to What's New and the Migration guides on the Wiki. Lots of people couldn't find it there -- it's not a very logical to check.  Those are now removed from the Appendix and are instead mentioned on the index page. They're important enough and What's new used to be the start of the reference.  From the remaining content, some needs to be trimmed like the classic ORM and AOP usage.  The XML schema configuration could move to the ""Core Container"" section, at the bottom. Arguably, in this new section-based structure, it would be more useful there, as a local Appendix of sorts. It does not alone justify having a top-level Appendix section.  The form tags reference is of marginal value. The API docs already lists all Tag classes and methods. We could make sure the API docs have the same amount of information (even including HTML tables in class level Javadoc) and then simply refer to the Javadoc form the reference without bloating the size of the content.  ---  **Affects:** 5.0 GA  **Issue Links:** - #20593 Top-level ""Language Support"" reference section  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/e5a5677fcd2a0948be5ab87fbd418fdc7b2b1daf, https://github.com/spring-projects/spring-framework/commit/eea8ee2165d694165364692bfd1ad761bb7fc09d","closed","type: task,","spring-projects-issues","2017-10-04T16:36:45Z","2019-01-11T13:12:56Z"
"","20593","Top-level ""Language Support"" reference section [SPR-16044]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16044](https://jira.spring.io/browse/SPR-16044?redirect=false)** and commented  Currently we have ""Kotlin Support"" as a top-level section. Groovy support is sprinkled throughout the ""Core Container"" section.  There is also a ""Dynamic Languages Support"" chapter in the ""Integration"" section.  The Kotlin section seems like a good model to emulate with a single place for Kotlin users to go to. We can build on that and create a top-level ""Language Support' section with chapters on Kotlin, Groovy, and also move the  dynamic languages content on from the Integration section.  Java language information could also be linked to or summarized in that section regardless of where it actually lives.  ---  **Affects:** 5.0 GA  **Issue Links:** - #20594 Refactor the Appendix section in the reference documentation  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/a3e62284eacda529f28433f26f9f91370d164a3b  1 votes, 1 watchers","closed","type: documentation,","spring-projects-issues","2017-10-04T16:22:34Z","2019-01-11T13:12:37Z"
"","20589","[docs] Complete WebFlux annotation programming model parts [SPR-16040]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16040](https://jira.spring.io/browse/SPR-16040?redirect=false)** and commented   ---  **Affects:** 5.0 GA  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/bb7152d6e7e4050db2230198a4d0c0350e505833, https://github.com/spring-projects/spring-framework/commit/61fc32155464f597eec0f1eefd9cdcb5c45f81c3, https://github.com/spring-projects/spring-framework/commit/4f2e54fc2dfe6d30336f6b2390cc563ee9bc5343, https://github.com/spring-projects/spring-framework/commit/1dbcd66091e1bafeee6bb0deb3bec62840f3e62f, https://github.com/spring-projects/spring-framework/commit/b97fa4a5ee2f8ec76e1240935198e14388997b2b, https://github.com/spring-projects/spring-framework/commit/437c33ba425b46a82c9ccbe16a8796050790a597","closed","type: documentation,","spring-projects-issues","2017-10-03T19:25:37Z","2018-01-23T10:05:12Z"
"","20567","Fix behavior of ClientResponse bodyToMono and bodyToFlux with Void.class [SPR-16018]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16018](https://jira.spring.io/browse/SPR-16018?redirect=false)** and commented  Currently `.bodyToMono(Void.class)` and `.bodyToFlux(Void.class)` do not do attempt to do anything with the body and simply return `Mono.empty()` instead.  This is a potential backdoor to connection pool issues if the response does have a body. We need to go farther in the handling of Void to actually attempt to consume the body, and cancel in case we do get some data. This is a sensible default behavior for a call such as `.bodyToMono(Void.class)` which cannot return anything more useful anyway.  Not only does such an improvement close a loophole into connection pool issues but it also makes for a more consistent message with regards to not leaving unconsumed resources -- instead of a close method on the response which is hard to explain how to use correctly or when, the advice is now simply  ""always use one of the body methods"".  ---  **Affects:** 5.0 RC4  **Issue Links:** - #20542 Revisit how WebClient disposes connection - #21177 WebClient retrieve() does not handle Void.class as recommended  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/126ac849e5592f65d742d1f23bf891e1a115af01","closed","type: bug,","spring-projects-issues","2017-09-27T15:40:49Z","2019-01-11T14:15:06Z"
"","20555","WebFlux support for HttpHeaders controller method return value [SPR-16006]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-16006](https://jira.spring.io/browse/SPR-16006?redirect=false)** and commented  RequestMappingInfoHandlerMapping uses such a method and is one reason for #20544.  ---  **Affects:** 5.0 RC4  **Issue Links:** - #20544 WebFlux support for HTTP OPTIONS not working  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/2da2c17fbb0bec5b1858878826a79a9c6af4ffcb","closed","type: enhancement,","spring-projects-issues","2017-09-25T19:04:18Z","2019-01-11T14:15:48Z"
"","20547","WebFlux support for Locale, TimeZone, ZoneId controller method arguments [SPR-15998]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-15998](https://jira.spring.io/browse/SPR-15998?redirect=false)** and commented   ---  **Affects:** 5.0 RC4  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/869b818e96844791bdd30201f2ee4c636ebba075","closed","type: enhancement,","spring-projects-issues","2017-09-24T14:35:01Z","2017-09-28T12:14:38Z"
"","20546","WebFlux support for UriBuilder, UriComponentsBuilder controller method arguments [SPR-15997]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-15997](https://jira.spring.io/browse/SPR-15997?redirect=false)** and commented  Essentially `UriComponentsBuilder.fromHttpRequest(request)`.  ---  **Affects:** 5.0 RC4  **Issue Links:** - #20505 Introduce WebFluxUriComponentsBuilder  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/bdde0f1ea0424d8639d2c7133d89a799a9721fc7","closed","type: enhancement,","spring-projects-issues","2017-09-24T14:31:59Z","2019-01-11T18:22:31Z"
"","20544","WebFlux support for HTTP OPTIONS not working [SPR-15995]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-15995](https://jira.spring.io/browse/SPR-15995?redirect=false)** and commented  HTTP OPTIONS doesn't seem to work. An `@RestController` with a `Flux` return value produces a 500 and this:  ``` [http-nio-8081-exec-2] 40:37 HttpWebHandlerAdapter: Failed to handle request java.lang.IllegalStateException: Could not resolve view with name 'cars'. 	at org.springframework.web.reactive.result.view.ViewResolutionResultHandler.lambda$resolveViews$3(ViewResolutionResultHandler.java:276) ```  ---  **Affects:** 5.0 RC4  **Issue Links:** - #20555 WebFlux support for HttpHeaders controller method return value","closed","type: bug,","spring-projects-issues","2017-09-23T21:43:58Z","2019-01-11T18:22:40Z"
"","20543","WebFlux support for HTTP HEAD [SPR-15994]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-15994](https://jira.spring.io/browse/SPR-15994?redirect=false)** and commented  For mapping purposes it works  the same as in Spring MVC -- HTTP HEAD is implicitly allowed where HTTP GET is declared. However in Spring MVC the Servlet API buffers response content, sets the content-length, and doesn't write. There is no equivalent support in Spring WebFlux. Reactor Netty produces a full response. Tomcat, Jetty, and Underow simply hang after the response headers which include ""transfer-encoding:chunked"".   ---  **Affects:** 5.0 RC4  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/6ee1af27c61c015461f79f95f1e4f89db911be0c","closed","type: enhancement,","spring-projects-issues","2017-09-23T21:37:27Z","2017-09-28T12:14:36Z"
"","20542","Revisit how WebClient disposes connection [SPR-15993]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-15993](https://jira.spring.io/browse/SPR-15993?redirect=false)** and commented  #20474 introduced a close method on ClientResponse and applied it automatically when body reading methods are used. However while investigating #20523 we realized the underlying dispose() on the Reactor HttpClientResponse is not meant to be called always but rather only as a means of cancelling or declaring that you won't read the body. Using dispose actually closes the connection and counteracts the benefits of using a connection pool.  We should remove the automatic calls to close (the `.doAfterTerminate(response::close)` when reading the body and probably also perhaps revisit the `close()` method behavior and name.  ---  **Affects:** 5.0 RC4  **Issue Links:** - #20560 WebClient doesn't reuse connections (_**""is duplicated by""**_) - #20474 Ensure that WebClient disposes the HTTP client connection once the client response is consumed - #20567 Fix behavior of ClientResponse bodyToMono and bodyToFlux with Void.class  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/10139d42fc57131386f57d5b160412cfb0c9fc86  1 votes, 2 watchers","closed","type: enhancement,","spring-projects-issues","2017-09-22T20:39:18Z","2019-01-11T18:22:06Z"
"","20534","Remove ResourceServlet from master [SPR-15984]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-15984](https://jira.spring.io/browse/SPR-15984?redirect=false)** and commented  It seems that we never did remove the ResourceServlet [as indicated](https://pivotal.io/security/cve-2016-9878). It was however deprecated in 4.3.5.   ---  **Affects:** 4.3.11  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/132022861e635736e2d4ab0f95247ad10cc39cc0","closed","type: task,","spring-projects-issues","2017-09-20T16:58:55Z","2017-09-28T12:14:38Z"
"","21083","Restdoc generation does not fail on missing fields because JsonContentHandler.getUndocumentedContent() removes complete arrays if documented [SPR-16540]","**[Roland Bachlechner](https://jira.spring.io/secure/ViewProfile.jspa?name=rbachlec)** opened **[SPR-16540](https://jira.spring.io/browse/SPR-16540?redirect=false)** and commented  I just detected that this issue has gone in newest version of restdocs project (2.0.0.RELEASE). But it's still present in version currently used in Spring Boot. Sorry for that, please close this bug.  **Situation:** An array is JSON response payload should be documented. Also the fields of the objects in the array should be documented.  **Code:**  ```java PayloadDocumentation.responseFields( 	fieldWithPath(""data"").description(""Array containing fields""), 	fieldWithPath(""data[].field1"").description(""The first field""), 	fieldWithPath(""data[].field2"").description(""The second field""), 	fieldWithPath(""data[].field3"").description(""The third field"") ) ```  **Response payload:**  ```javascript {   ""data"": [     {       ""field1"": ""value1"",       ""field2"": ""value2"",       ""field3"": ""value3"",       ""field4"": ""value4""     }   ] } ```  **Problem:** The test does not fail on missing documentation of field4.  **Reason:** JsonContentHandler.getUndocumentedContent() removes the whole array from content on path ""$.data"" and cannot find the missing field4 within the object in the array.   ---  **Affects:** 4.3.14","closed","status: invalid,","spring-projects-issues","2018-02-27T09:10:17Z","2019-01-12T05:19:20Z"
"","20894","AbstractAutoProxyCreator throws IllegalStateException when using Apache Orchestra conversations  [SPR-16347]","**[Roland Bachlechner](https://jira.spring.io/secure/ViewProfile.jspa?name=rbachlec)** opened **[SPR-16347](https://jira.spring.io/browse/SPR-16347?redirect=false)** and commented  I tried to migrate our applications from Spring 4 to Spring 5 and got the following problem. Defining and accessing a bean with orchestra conversation scope leads to this stacktrace:  ``` org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'personDao' defined in ServletContext resource [/WEB-INF/applicationContext.xml]: Initialization of bean failed; nested exception is java.lang.IllegalStateException: BeanFactory required for resolving interceptor names 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:591) 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:502) 	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$1(AbstractBeanFactory.java:348) 	at org.apache.myfaces.orchestra.conversation.spring.AbstractSpringOrchestraScope.getRealBean(AbstractSpringOrchestraScope.java:370) 	at org.apache.myfaces.orchestra.conversation.spring.ScopedBeanTargetSource.getTarget(ScopedBeanTargetSource.java:73) 	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:673) 	at mycompany.persistence.dao.PersonDao$$EnhancerBySpringCGLIB$$6faf3db0.toString() 	at com.sun.facelets.util.DevTools.writeVariables(DevTools.java:168) 	at com.sun.facelets.util.DevTools.writeVariables(DevTools.java:145) 	at com.sun.facelets.util.DevTools.debugHtml(DevTools.java:109) 	at com.sun.facelets.FaceletViewHandler.handleRenderException(FaceletViewHandler.java:692) 	at com.sun.facelets.FaceletViewHandler.renderView(FaceletViewHandler.java:660) 	at org.ajax4jsf.application.ViewHandlerWrapper.renderView(ViewHandlerWrapper.java:108) 	at org.ajax4jsf.application.AjaxViewHandler.renderView(AjaxViewHandler.java:189) 	at com.sun.faces.lifecycle.RenderResponsePhase.execute(RenderResponsePhase.java:110) 	at com.sun.faces.lifecycle.Phase.doPhase(Phase.java:100) 	at com.sun.faces.lifecycle.LifecycleImpl.render(LifecycleImpl.java:139) 	at javax.faces.webapp.FacesServlet.service(FacesServlet.java:266) 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:230) 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:165) 	at org.ajax4jsf.webapp.BaseXMLFilter.doXmlFilter(BaseXMLFilter.java:154) 	at org.ajax4jsf.webapp.BaseFilter.handleRequest(BaseFilter.java:260) 	at org.ajax4jsf.webapp.BaseFilter.processUploadsAndHandleRequest(BaseFilter.java:366) 	at org.ajax4jsf.webapp.BaseFilter.doFilter(BaseFilter.java:493) 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:192) 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:165) 	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52) 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:192) 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:165) 	at mycompany.presentation.MySpecificFilter.doFilter(MySpecificFilter.java:46) 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:192) 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:165) 	at org.apache.myfaces.orchestra.filter.OrchestraServletFilter.doFilter(OrchestraServletFilter.java:77) 	at org.apache.myfaces.orchestra.lib.CompoundFilter$1.doFilter(CompoundFilter.java:58) 	at org.apache.myfaces.orchestra.lib._NullFilter.doFilter(_NullFilter.java:45) 	at org.apache.myfaces.orchestra.lib.CompoundFilter.doFilter(CompoundFilter.java:63) 	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:192) 	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:165) 	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:198) 	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:96) 	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:595) 	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:140) 	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:80) 	at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:624) 	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:87) 	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:341) 	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:799) 	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:66) 	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:861) 	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1455) 	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49) 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142) 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617) 	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61) 	at java.lang.Thread.run(Thread.java:748) Caused by: java.lang.IllegalStateException: BeanFactory required for resolving interceptor names 	at org.springframework.util.Assert.state(Assert.java:73) 	at org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator.resolveInterceptorNames(AbstractAutoProxyCreator.java:547) 	at org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator.buildAdvisors(AbstractAutoProxyCreator.java:514) 	at org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator.createProxy(AbstractAutoProxyCreator.java:463) 	at org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator.wrapIfNecessary(AbstractAutoProxyCreator.java:355) 	at org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator.postProcessAfterInitialization(AbstractAutoProxyCreator.java:304) 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.applyBeanPostProcessorsAfterInitialization(AbstractAutowireCapableBeanFactory.java:438) 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1714) 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:583) 	... 54 more ```  I debugged the code and found the line AbstractAutoProxyCreator:547 (Spring 5.0.2) that asserts that the beanFactory is not null (the line has not been there in Spring 4). But the beanFactory field is annotated `@Nullable`.  I'm actually no sure if this is a bug but I didn't find a possibility to set the beanFactory field on the instance (actual class is org.apache.myfaces.orchestra.conversation.spring.OrchestraAdvisorBeanPostProcessor). The AbstractAutoProxyCreator class did not change that much between 4 and 5 and especially the method that throws the exception only fails because of the Assert.  The orchestra bean configuration looks like this:  ```xml                                                                                                                                                                                                                                                                                                                         	                 		                 		                 			                 				                 			                 		                 		                 	                                                                                       ```    ---  **Affects:** 5.0.2  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/0a06bce3a6aae37c154e18615de9ef2ca25b3cd9","closed","in: core,","spring-projects-issues","2018-01-04T14:31:34Z","2018-01-23T10:05:13Z"
