"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1471","refactor redundancy code in spring-core/src/main/java/org/springframe…","…work/util/CommonsLogWriter.java","closed","status: superseded,","qcq","2017-07-07T16:09:59Z","2021-04-27T11:09:57Z"
"","20393","SimpleApplicationEventMulticaster does not deal with lambda-defined listeners when ErrorHandler is set [SPR-15838]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15838](https://jira.spring.io/browse/SPR-15838?redirect=false)** and commented  Originally raised [against Spring Boot](https://github.com/spring-projects/spring-boot/issues/9915), but I think this might be a Framework issue.  The `SimpleApplicationEventMulticaster` deals with lambda-defined implementations by catching any `ClassCastException`. However, if an `ErrorHandler` has been set a different code path runs that does not catch the exception.  The relevant code [is here](https://github.com/spring-projects/spring-framework/blob/af83d2332a0011d83a4a775d57e2d28b9eb53bee/spring-context/src/main/java/org/springframework/context/event/SimpleApplicationEventMulticaster.java#L159).  ---  **Affects:** 4.3.10, 5.0 RC3  **Issue Links:** - #18681 Wrong detection of event type on ApplicationListener when using lambdas (ClassCast Exception) - #19711 SimpleApplicationEventMulticaster should not rely on ClassCastException having a message  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/dd2bbcb3ec119287f1c814a1c18dde235a81f167, https://github.com/spring-projects/spring-framework/commit/f948742781e5253e5903f84217b51ffa079f5123  1 votes, 2 watchers","closed","in: core,","spring-projects-issues","2017-07-31T16:04:37Z","2019-01-11T17:40:27Z"
"","20303","Improve performance of ReactiveAdapterRegistry [SPR-15747]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15747](https://jira.spring.io/browse/SPR-15747?redirect=false)** and commented  Whilst profiling startup times for Spring Boot I noticed that `ReactiveAdapterRegistry` is taking quite some time for a simple application.  For example, if I run `ConfigurationClassProcessingTests.simplestPossibleConfig` I get a test run time around 0.66 seconds. If I comment out the code from the `ReactiveAdapterRegistry` constructor it drops to 0.53 seconds.  Perhaps we can make the registry late binding, or unwind some of the existing lambda calls?   ---  **Affects:** 5.0 RC2  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/dfcc9af9384a54104b760a782e2b16884e0c1629","closed","type: enhancement,","spring-projects-issues","2017-07-07T23:57:09Z","2017-12-28T20:22:22Z"
"","20201","NPE in AnnotationUtils.getValue [SPR-15642]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15642](https://jira.spring.io/browse/SPR-15642?redirect=false)** and commented  We've got a recent NPE in the Spring Boot build that Madhura helped to tracked down to this change:  https://github.com/spring-projects/spring-framework/commit/f813712f5b413b354560cd7cc006352e9defa9a3#diff-44945edabd4176dfd3966252ff4a589eL1322  ``` org.springframework.web.util.NestedServletException: Request processing failed; nested exception is java.lang.NullPointerException  	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:979) 	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:863) 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:687) 	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:848) 	at org.springframework.test.web.servlet.TestDispatcherServlet.service(TestDispatcherServlet.java:66) 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:790) 	at org.springframework.mock.web.MockFilterChain$ServletFilterProxy.doFilter(MockFilterChain.java:162) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:129) 	at org.springframework.boot.actuate.trace.WebRequestTraceFilter.doFilterInternal(WebRequestTraceFilter.java:110) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:129) 	at org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:99) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:129) 	at org.springframework.web.filter.HttpPutFormContentFilter.doFilterInternal(HttpPutFormContentFilter.java:105) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:129) 	at org.springframework.web.filter.HiddenHttpMethodFilter.doFilterInternal(HiddenHttpMethodFilter.java:81) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:129) 	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:199) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:129) 	at org.springframework.boot.actuate.autoconfigure.MetricsFilter.doFilterInternal(MetricsFilter.java:106) 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107) 	at org.springframework.mock.web.MockFilterChain.doFilter(MockFilterChain.java:129) 	at org.springframework.test.web.servlet.MockMvc.perform(MockMvc.java:155) 	at org.springframework.boot.actuate.hypermedia.HypermediaEndpointDocumentation.metrics(HypermediaEndpointDocumentation.java:63) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:498) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.springframework.test.context.junit4.statements.RunBeforeTestExecutionCallbacks.evaluate(RunBeforeTestExecutionCallbacks.java:73) 	at org.springframework.test.context.junit4.statements.RunAfterTestExecutionCallbacks.evaluate(RunAfterTestExecutionCallbacks.java:83) 	at org.springframework.test.context.junit4.statements.RunBeforeTestMethodCallbacks.evaluate(RunBeforeTestMethodCallbacks.java:75) 	at org.springframework.test.context.junit4.statements.RunAfterTestMethodCallbacks.evaluate(RunAfterTestMethodCallbacks.java:86) 	at org.springframework.test.context.junit4.statements.SpringRepeat.evaluate(SpringRepeat.java:84) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:251) 	at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:98) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.springframework.test.context.junit4.statements.RunBeforeTestClassCallbacks.evaluate(RunBeforeTestClassCallbacks.java:61) 	at org.springframework.test.context.junit4.statements.RunAfterTestClassCallbacks.evaluate(RunAfterTestClassCallbacks.java:70) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.run(SpringJUnit4ClassRunner.java:190) 	at org.junit.runner.JUnitCore.run(JUnitCore.java:137) 	at com.intellij.junit4.JUnit4IdeaTestRunner.startRunnerWithArgs(JUnit4IdeaTestRunner.java:68) 	at com.intellij.rt.execution.junit.IdeaTestRunner$Repeater.startRunnerWithArgs(IdeaTestRunner.java:51) 	at com.intellij.rt.execution.junit.JUnitStarter.prepareStreamsAndStart(JUnitStarter.java:237) 	at com.intellij.rt.execution.junit.JUnitStarter.main(JUnitStarter.java:70) Caused by: java.lang.NullPointerException 	at org.springframework.core.annotation.AnnotationUtils.getValue(AnnotationUtils.java:1327) 	at org.springframework.core.annotation.AnnotationUtils.getValue(AnnotationUtils.java:1298) 	at org.springframework.hateoas.core.AnnotationMappingDiscoverer.getMappingFrom(AnnotationMappingDiscoverer.java:111) 	at org.springframework.hateoas.core.AnnotationMappingDiscoverer.getMapping(AnnotationMappingDiscoverer.java:73) 	at org.springframework.hateoas.mvc.ControllerLinkBuilder$CachingAnnotationMappingDiscoverer.getMapping(ControllerLinkBuilder.java:301) 	at org.springframework.hateoas.mvc.ControllerLinkBuilder.linkTo(ControllerLinkBuilder.java:119) 	at org.springframework.hateoas.mvc.ControllerLinkBuilder.linkTo(ControllerLinkBuilder.java:102) 	at org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$EndpointResource.(EndpointWebMvcHypermediaManagementContextConfiguration.java:358) 	at org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$MvcEndpointAdvice.beforeBodyWrite(EndpointWebMvcHypermediaManagementContextConfiguration.java:299) 	at org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$MvcEndpointAdvice.beforeBodyWrite(EndpointWebMvcHypermediaManagementContextConfiguration.java:272) 	at org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyAdviceChain.processBody(RequestResponseBodyAdviceChain.java:135) 	at org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyAdviceChain.beforeBodyWrite(RequestResponseBodyAdviceChain.java:111) 	at org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.writeWithMessageConverters(AbstractMessageConverterMethodProcessor.java:230) 	at org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.handleReturnValue(RequestResponseBodyMethodProcessor.java:182) 	at org.springframework.web.method.support.HandlerMethodReturnValueHandlerComposite.handleReturnValue(HandlerMethodReturnValueHandlerComposite.java:83) 	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:116) 	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:860) 	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:770) 	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:86) 	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:970) 	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:904) 	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:971) 	... 57 more ```  ---  **Affects:** 5.0 RC2  **Issue Links:** - #20099 Introduce null-safety of Spring Framework API  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/e6f195095283beaf1637b8230e64cb324e96fe33, https://github.com/spring-projects/spring-framework/commit/c67542418921ece5be42b1aef7beadd5b36c9737","closed","in: core,","spring-projects-issues","2017-06-07T23:38:29Z","2019-01-11T16:09:05Z"
"","20176","Make SystemEnvironmentPropertySource.resolvePropertyName protected [SPR-15617]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15617](https://jira.spring.io/browse/SPR-15617?redirect=false)** and commented  It would be super helpful is we could make `SystemEnvironmentPropertySource.resolvePropertyName` a protected final method so that it can be called by Spring Boot to return origin tracking information.  I'm happy to make the change if there are no objections.   ---  **Affects:** 5.0 RC1  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/72cd24446db45b0f3af483e399fbced392286f96","closed","type: enhancement,","spring-projects-issues","2017-06-02T22:50:37Z","2017-06-14T10:12:19Z"
"","20073","Add onChangeListener support to MutablePropertySources [SPR-15514]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15514](https://jira.spring.io/browse/SPR-15514?redirect=false)** and commented  Spring Boot would like to track when property sources are changed on a `MutablePropertySources` instance. One way to do this would be to add listener support.   --- No further details from [SPR-15514](https://jira.spring.io/browse/SPR-15514?redirect=false)","open","type: enhancement,","spring-projects-issues","2017-05-04T18:00:52Z","2017-11-02T12:31:50Z"
"","20071","Offer compile time support for `@Configuration` classes  [SPR-15512]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15512](https://jira.spring.io/browse/SPR-15512?redirect=false)** and commented  During some discussion on the Spring Boot call about [this issue](https://github.com/spring-projects/spring-boot/issues/9068) we discussed the benefits of not needing to use CGLib for configuration classes.  A typical Spring Boot application will load 50-70 configurations and each one needs bytecode generation and increases the amount of memory used.  One option that Stephane suggested was to do the bytecode manipulation an compile time rather than runtime. We could possibly use an annotation processor to rewrite the methods and call some common SPI that both `ConfigurationClassEnhancer` and us could share.    ---  0 votes, 6 watchers","closed","type: enhancement,","spring-projects-issues","2017-05-04T01:04:54Z","2022-06-17T11:36:48Z"
"","20068","Cache spring.factories loads [SPR-15509]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15509](https://jira.spring.io/browse/SPR-15509?redirect=false)** and commented  Currently `SpringFactoriesLoader` reloads properties files on each call. Whilst this doesn't appear to be particularly expensive in terms of CPU, it does cause some garbage objects due to an 8K buffer that `Properties` creates each time.  We could cache the loaded properties to save repeated loading the same file.   ---  **Affects:** 4.3.8","closed","type: enhancement,","spring-projects-issues","2017-05-03T00:20:57Z","2017-05-08T08:41:47Z"
"","20066","""Not a setter"" exception cannot be be thrown in Property.java [SPR-15507]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15507](https://jira.spring.io/browse/SPR-15507?redirect=false)** and commented  Someone from the community raised this to me:  The `Property` class includes the following:  ```java 	int index = this.writeMethod.getName().indexOf(""set"") + 3; 			if (index == -1) { 				throw new IllegalArgumentException(""Not a setter method""); } ```  Since the `index` is set with `+3` there's no way for the exception to throw.  See https://github.com/spring-projects/spring-framework/blob/3b8b3502a84714bd01594fca10e0afabcd2e48e4/spring-core/src/main/java/org/springframework/core/convert/Property.java#L146   ---  **Affects:** 4.3.8  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/817e80c56b8efe40e3dc28c68586b1412589d064, https://github.com/spring-projects/spring-framework/commit/aa8cf190d3d893f3fb34e8f0492114988b7c3b26","closed","in: core,","spring-projects-issues","2017-05-02T15:36:46Z","2017-05-08T08:41:45Z"
"","20062","Also clear SerializableTypeWrapper when ResolvableType cache is cleared [SPR-15503]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15503](https://jira.spring.io/browse/SPR-15503?redirect=false)** and commented  I think we should also clear the `SerializableTypeWrapper` cache when `ResolvableType.clearCache()` is called.   ---  **Affects:** 4.3.8  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/7ca0094fa1d83de72e8cbaaea3ff8538ae8796d6, https://github.com/spring-projects/spring-framework/commit/d643e57318caaa57062154bb830c8b240ba38810","closed","type: enhancement,","spring-projects-issues","2017-05-02T04:42:36Z","2017-05-08T08:41:46Z"
"","20061","Defer StringHttpMessageConverter Charset.availableCharsets() call [SPR-15502]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15502](https://jira.spring.io/browse/SPR-15502?redirect=false)** and commented  The `StringHttpMessageConverter` calls `Charset.availableCharsets()` which can be quite an expensive thing to do on startup. Switching it to obtain it on the first call may help improve startup times a little.   ---  **Affects:** 4.3.8  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/90477b40a4b92c357184cc182f546ce742b1ffa1, https://github.com/spring-projects/spring-framework/commit/ee40310c926f3ce1a51f28b20ede096995a667f2","closed","type: enhancement,","spring-projects-issues","2017-05-02T04:32:49Z","2017-05-08T08:41:46Z"
"","20025","Align WebMvcConfigurer with WebFluxConfigurer in terms of default methods [SPR-15465]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15465](https://jira.spring.io/browse/SPR-15465?redirect=false)** and commented  I noticed that there is a `WebFluxConfigurer` interface but no `WebFluxConfigurerAdapter` implementation. Can we add one?   ---  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/7df3d68b2a0f833ec786e577a7a4ba22919bdc2f","closed","type: enhancement,","spring-projects-issues","2017-04-20T03:41:22Z","2017-05-08T08:41:44Z"
"","19999","ScriptUtils#splitSqlScript cannot deal with semicolons in stored procedures [SPR-15438]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15438](https://jira.spring.io/browse/SPR-15438?redirect=false)** and commented  Originally raised [with Spring Boot](https://github.com/spring-projects/spring-boot/issues/6217) the `org.springframework.jdbc.datasource.init.ScriptUtils#splitSqlScript` method cannot deal with semicolons that are part of a stored procedure.  For example:  ```sql CREATE FUNCTION count_clients() RETURNS integer     LANGUAGE plpgsql     AS $$begin   select count(*) from clients; end;$$; ```  ---  **Affects:** 4.3.7  **Issue Links:** - #19952 Oracle SQL hints are ignored as comments in ScriptUtils  2 votes, 5 watchers","open","type: enhancement,","spring-projects-issues","2017-04-11T21:49:57Z","2021-10-02T12:10:50Z"
"","19874","SimpleMetadataReader fails to read meta-annotations with non-loadable attribute classes [SPR-15311]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15311](https://jira.spring.io/browse/SPR-15311?redirect=false)** and commented  Originally raised [in Spring Boot](https://github.com/spring-projects/spring-boot/pull/8185), it appears that despite using ASM the `SimpleMetadataReader` cannot deal with references to classes that are not present when searching meta-annotations.  An example that shows the problem is [here](https://github.com/spring-projects/spring-boot-issues/tree/master/gh-8185). Putting a breakpoint on `AnnotationUtils.handleIntrospectionFailure` shows that `gh8185.lib.ConditionalOnOptionalComponent` cannot be read.  ``` Thread [main] (Suspended (breakpoint at line 1852 in AnnotationUtils))	 	owns: CachingMetadataReaderFactory$1  (id=57)	 	owns: Object  (id=42)	 	AnnotationUtils.handleIntrospectionFailure(AnnotatedElement, Throwable) line: 1852	 	AnnotationUtils.getAnnotations(AnnotatedElement) line: 234	 	AnnotationAttributesReadingVisitor.visitEnd() line: 76	 	ClassReader.readAnnotationValues(int, char[], boolean, AnnotationVisitor) line: 1869	 	ClassReader.accept(ClassVisitor, Attribute[], int) line: 657	 	ClassReader.accept(ClassVisitor, int) line: 523	 	SimpleMetadataReader.(Resource, ClassLoader) line: 64	 	CachingMetadataReaderFactory(SimpleMetadataReaderFactory).getMetadataReader(Resource) line: 98	 	CachingMetadataReaderFactory.getMetadataReader(Resource) line: 102	 	ClassPathBeanDefinitionScanner(ClassPathScanningCandidateComponentProvider).findCandidateComponents(String) line: 287	 	ClassPathBeanDefinitionScanner.doScan(String...) line: 272	 	ComponentScanAnnotationParser.parse(AnnotationAttributes, String) line: 135	 	ConfigurationClassParser.doProcessConfigurationClass(ConfigurationClass, ConfigurationClassParser$SourceClass) line: 282	 	ConfigurationClassParser.processConfigurationClass(ConfigurationClass) line: 244	 	ConfigurationClassParser.parse(AnnotationMetadata, String) line: 197	 	ConfigurationClassParser.parse(Set) line: 166	 	ConfigurationClassPostProcessor.processConfigBeanDefinitions(BeanDefinitionRegistry) line: 308	 	ConfigurationClassPostProcessor.postProcessBeanDefinitionRegistry(BeanDefinitionRegistry) line: 228	 	PostProcessorRegistrationDelegate.invokeBeanDefinitionRegistryPostProcessors(Collection, BeanDefinitionRegistry) line: 270	 	PostProcessorRegistrationDelegate.invokeBeanFactoryPostProcessors(ConfigurableListableBeanFactory, List) line: 93	 	AnnotationConfigApplicationContext(AbstractApplicationContext).invokeBeanFactoryPostProcessors(ConfigurableListableBeanFactory) line: 686	 	AnnotationConfigApplicationContext(AbstractApplicationContext).refresh() line: 524	 	SpringApplication.refresh(ApplicationContext) line: 737	 	SpringApplication.refreshContext(ConfigurableApplicationContext) line: 370	 	SpringApplication.run(String...) line: 314	 	SpringApplication.run(Object[], String[]) line: 1162	 	SpringApplication.run(Object, String...) line: 1151	 	Application.main(String[]) line: 11	 ```    ---  **Affects:** 4.3.6","closed","in: core,","spring-projects-issues","2017-03-03T21:21:39Z","2019-01-12T16:33:29Z"
"","18463","Provide registerBean variants based on ResolvableType [SPR-15197]","**[Phil Webb](https://jira.spring.io/secure/ViewProfile.jspa?name=pwebb)** opened **[SPR-15197](https://jira.spring.io/browse/SPR-15197?redirect=false)** and commented  The current `registerBean` methods added to support functional registration take a `beanType` class.  https://github.com/spring-projects/spring-framework/blob/cb0d992303213c42403e7c0f2da6253d889b1e37/spring-context/src/main/java/org/springframework/context/support/GenericApplicationContext.java#L357-L416  I have a feeling that we may need to register beans that include generics. e.g.  ```java Repository fooRepository = SomeThing.makeSomeFoo(); context.registerBean(..., fooRepository, ...); ```  Perhaps we should also offer `registerBean` variants that take a `ResolvableType`.  ---  **Affects:** 5.0 M4  **Issue Links:** - #18353 Programmatic bean registration within configuration classes - #19398 Add a functional way to register a bean - #19149 Allow programmatic registration of bean definitions with a ResolvableType - #19578 getBeanNamesForType(ResolvableType) doesn't match generic factory method return type for yet-to-be-created bean - #21566 Publicly expose ResolvableType in RootBeanDefinition  0 votes, 5 watchers","open","type: enhancement,","spring-projects-issues","2017-01-27T17:51:39Z","2019-01-11T14:25:37Z"
