"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","814","Add missing super.httpMethods(); in OkHttpClientHttpRequestFactoryTes…","…ts.httpMethods()","closed","","izeye","2015-06-07T09:53:59Z","2015-06-15T16:18:13Z"
"","17533","Document meta-annotation support in AnnotationUtils [SPR-12940]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12940](https://jira.spring.io/browse/SPR-12940?redirect=false)** and commented  ---  **Issue Links:** - #17534 AnnotationUtils does not support arbitrary levels of meta-annotations on methods - #16139 Document and test status quo for AnnotatedElementUtils  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/19a75f2c668de369f6e9dd10d0441841e2daea99","closed","in: core,","spring-projects-issues","2015-04-21T10:52:04Z","2019-01-11T21:08:26Z"
"","17525","Autowiring against a closed ApplicationContext should consistently fail [SPR-12932]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12932](https://jira.spring.io/browse/SPR-12932?redirect=false)** and commented  #### Status Quo  It is currently possible to autowire against an `ApplicationContext` that has been _closed_. However, attempting to do so should result in some sort of exception being thrown. See the example failing tests below.  This issue was brought to our attention when integration tests in the Spring Integration test suite started failing. See [INT-3543](https://jira.spring.io/browse/INT-3543) for details.  ---  #### Analysis by Jürgen Höller  `AbstractApplicationContext` already invokes `assertBeanFactoryActive()` before it delegates to the internal `DefaultListableBeanFactory` but of course only for methods on the `ApplicationContext` itself.  The underlying `BeanFactory` doesn't have the notion of a _'closed'_ state -- it may just have had its singletons destroyed but could, from its perspective, recreate them at any point.  The semantically cleaner solution is to perform the assertion in the application context's `getAutowireCapableBeanFactory()` implementation: `AbstractRefreshableApplicationContext` subclasses do throw an `IllegalStateException` there after closing, but `GenericApplicationContext` subclasses don't. The latter needs to be fixed, and the `getAutowireCapableBeanFactory()` Javadoc in the `ApplicationContext` interface needs to explicitly state that an `IllegalStateException` will be thrown after context closing.  ---  #### Example Failing Tests  `Example1Test` does not fail until the second line of the `test2()` method, thus demonstrating that the test instance was autowired from a closed `ApplicationContext`.  `Example2Test` contains a copy of the actual code from `DependencyInjectionTestExecutionListener.injectDependencies()`, demonstrating that autowiring against a closed `ApplicationContext` in fact does not throw any kind of exception.  ```java @RunWith(SpringJUnit4ClassRunner.class) @ContextConfiguration public class Example1Test {      @Configuration static class Config {         @Bean String foo() { return ""foo""; }     }      @Autowired ConfigurableApplicationContext context;     @Autowired String foo;      @Test     public void test1() {         assertEquals(""foo"", foo);         assertTrue(context.isActive());     }      @After     public void close() {         context.close();     }      @Test     public void test2() {         assertEquals(""foo"", foo);         assertTrue(context.isActive());     } } ```  ```java public class Example2Test {      @Test(expected = Exception.class)     public void autowiringAgainstClosedContextShouldThrowAnException() {         ConfigurableApplicationContext context = new GenericApplicationContext();         context.refresh();         context.close();          // Simulate DependencyInjectionTestExecutionListener         AutowireCapableBeanFactory beanFactory = context.getAutowireCapableBeanFactory();         beanFactory.autowireBeanProperties(this, AutowireCapableBeanFactory.AUTOWIRE_NO, false);     } } ```  ---  **Affects:** 4.1.2, 4.1.6  **Issue Links:** - [INT-3543](https://jira.spring.io/browse/INT-3543) Fix tests do not close ApplicationContext between test methods - #17517 ApplicationContext fails to load in TestNG test if previous test is annotated with `@DirtiesContext` - #17012 DefaultListableBeanFactory should allow efficient access to current bean names  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/706d3adf07988d8248d2a13a6585b2a40388de78, https://github.com/spring-projects/spring-framework/commit/93f403cbf65ff4d584dc2d168c929d5683e065a4","closed","type: enhancement,","spring-projects-issues","2015-04-19T14:49:21Z","2019-01-13T05:41:09Z"
"","17508","Introduce isNotEmpty() aliases for hasLength() in StringUtils [SPR-12909]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12909](https://jira.spring.io/browse/SPR-12909?redirect=false)** and commented   ---  **Reference URL:** https://github.com/spring-projects/spring-framework/pull/775  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/47f8d435e621163f56727891bb2e874e76e1f9b8","closed","type: enhancement,","spring-projects-issues","2015-04-14T10:49:46Z","2015-05-07T07:04:18Z"
"","17437","Document support for generating unique names for embedded databases in the reference manual [SPR-12839]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12839](https://jira.spring.io/browse/SPR-12839?redirect=false)** and commented  #13491 introduced support for auto-generating unique names for embedded databases, but this has not yet been documented in the reference manual.  ---  **Affects:** 4.2 RC1  **Issue Links:** - #13491 Introduce support for generating unique names for embedded databases (_**""depends on""**_)  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/bfdf6b7b3ae3c4c8e8ee5bd73311440faafae841","closed","type: documentation,","spring-projects-issues","2015-03-20T16:46:28Z","2019-01-11T21:39:00Z"
"","17432","Introduce database-name attribute in  [SPR-12835]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12835](https://jira.spring.io/browse/SPR-12835?redirect=false)** and commented  #### Status Quo  Since its inception, the `` XML namespace element (or more specifically the `EmbeddedDatabaseBeanDefinitionParser`) has set the name of the embedded database that it creates to the value of the `id` attribute. This makes it impossible to reuse an XML configuration file containing such a bean definition in multiple application contexts loaded within the same JVM -- for example, by importing the common test data source configuration into multiple contexts loaded by the _Spring TestContext Framework_.  Furthermore, the `EmbeddedDatabaseBuilder` already provides support for setting the `name` in Java Config.  #### Deliverables  1. Introduce a `database-name` attribute in `` to bring XML configuration of embedded databases on par with the support in Java Config.  ---  **Affects:** 3.0 GA  **Issue Links:** - #17431 Allow  to be declared as an anonymous bean (_**""depends on""**_) - #13491 Introduce support for generating unique names for embedded databases (_**""is depended on by""**_) - #12260 jdbc:datasource lacks 'name' attribute or related mechanism - #13560 Using multiple declarations of jdbc:embedded-database creates only one H2 instance per JVM (_**""supersedes""**_)  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/ab771dfd97b14f978a0513f4e9425db86099b348, https://github.com/spring-projects/spring-framework/commit/c36c6cbfaafc5efdcc707d86226acf2258a1bba1","closed","type: enhancement,","spring-projects-issues","2015-03-20T07:22:53Z","2019-01-11T21:38:44Z"
"","17431","Allow  to be declared as an anonymous bean [SPR-12834]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12834](https://jira.spring.io/browse/SPR-12834?redirect=false)** and commented  #### Status Quo  Currently, `` cannot be declared without specifying an `id`. However, when the `DataSource` is _autowired by type_, an explicit `id` is not absolutely necessary.  #### Deliverables  1. Allow `` to be declared as an anonymous bean  ---  **Affects:** 3.0 GA  **Issue Links:** - #17432 Introduce database-name attribute in  (_**""is depended on by""**_)  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/7e2f12cf9f505c6fe1b2608874f3c5f926ea0dc3","closed","type: enhancement,","spring-projects-issues","2015-03-20T07:17:26Z","2019-01-11T21:38:49Z"
"","17390","TypeDescriptor should support arbitrary levels of meta-annotations [SPR-12793]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12793](https://jira.spring.io/browse/SPR-12793?redirect=false)** and commented  #### Status Quo  The `getAnnotation()` method in `TypeDescriptor` currently only supports a single level of meta-annotations.  In other words, meta-annotations on meta-annotations will never be found, and this does not align with Spring's standard support for meta-annotations with arbitrary levels.  For example, `@NumberFormat` and `@DateTimeFormat` are supported as meta-annotations but not as meta-meta-annotations.  #### Deliverables  1. [x] Alter the search algorithm used in `TypeDescriptor.getAnnotation()` so that arbitrary levels of meta-annotations are supported.  ---  **Affects:** 3.2 GA  **Issue Links:** - #17340 Support `@NumberFormat` as a meta-annotation (_**""depends on""**_) - #16074 AnnotationUtils.findAnnotation() should support arbitrary levels of meta-annotations - #16095 MetaAnnotationUtils should support arbitrary levels of meta-annotations  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/04d6afe54d39d9769c9c54e45a5e61e946156152","closed","type: enhancement,","spring-projects-issues","2015-03-07T13:08:43Z","2019-01-13T05:41:50Z"
"","17369","Upgrade build to Gradle 2.4 [SPR-12772]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12772](https://jira.spring.io/browse/SPR-12772?redirect=false)** and commented  #### Tweets and Blogs about Gradle 2.4  - [Gradle 2.4: The fastest yet](http://gradle.org/gradle-2-4-the-fastest-yet/): Gradle blog - [Spring Security builds](https://twitter.com/rob_winch/status/581162990147235841): tweet by [Rob Winch](https://jira.spring.io/secure/ViewProfile.jspa?name=rwinch) - [Spring Framework builds](https://twitter.com/sam_brannen/status/581884182156197888): tweet by [Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)  ---  **Affects:** 4.2 RC1  **Issue Links:** - #16551 Upgrade build to Gradle 2.2.1 (_**""depends on""**_) - #17603 Upgrade build to Gradle 2.5 for JDK 9 support  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/ed60b8cf5b2f0216ac06d1ae25f176b73a22d69b","closed","type: task,","spring-projects-issues","2015-03-01T14:13:59Z","2019-01-11T21:25:20Z"
"","17366","GroovyBeanDefinitionReader does not fully support XML config files [SPR-12769]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12769](https://jira.spring.io/browse/SPR-12769?redirect=false)** and commented  #### Status Quo  The class-level Javadoc for `GroovyBeanDefinitionReader` states the following.  > This bean definition reader also understands XML bean definition files, allowing for seamless mixing and matching with Groovy bean definition files.  However, the support for XML configuration files is actually limited since `GroovyBeanDefinitionReader` disables XML validation for the `XmlBeanDefinitionReader` that it uses internally. As a consequence, certain standard features for XML configuration files do not work. For example, as discussed in #17365, the absence of XML validation causes the `default` value of the `type` attribute (defined in the `spring-beans` XSD) in the `` tag to be ignored, and this results in a `BeanDefinitionParsingException` when the `ApplicationContext` is loaded.  #### Deliverables  1. [x] Ensure that XML configuration files are fully supported when bean definitions are loaded via `GroovyBeanDefinitionReader`.  ---  **Affects:** 4.0 GA  **Issue Links:** - #17365 XML config isn't fully supported for web integration tests if Groovy is on the classpath  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/e24a7ded620b74110141bc6d4a80ae86c74c157b, https://github.com/spring-projects/spring-framework/commit/7edc7c2c8f3e98a9c61d4c9520489d132c00e0a0, https://github.com/spring-projects/spring-framework/commit/b6f22aa514b6769985356dc41e6824b4cd3aacc3","closed","in: core,","spring-projects-issues","2015-02-28T13:14:32Z","2019-01-11T21:24:57Z"
"","17365","XML config isn't fully supported for web integration tests if Groovy is on the classpath [SPR-12768]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12768](https://jira.spring.io/browse/SPR-12768?redirect=false)** and commented  #### Status Quo  As discussed in the ""[spring-test, groovy library and qualifier tag incompatibility](http://stackoverflow.com/questions/28212993/spring-test-groovy-library-and-qualifier-tag-incompatibility)"" thread on Stack Overflow, it is currently impossible to configure an integration test using `@WebAppConfiguration` and XML config that uses the `` tag _if Groovy is on the classpath_. Any attempt to do so will result in a stack trace similar to the following.  ``` Caused by: org.springframework.beans.factory.parsing.BeanDefinitionParsingException: Configuration problem: Unexpected failure during bean definition parsing Offending resource: class path resource [spring/app-config.xml] Bean 'service'; nested exception is org.springframework.beans.factory.parsing.BeanDefinitionParsingException: Configuration problem: Tag 'qualifier' must have a 'type' attribute Offending resource: class path resource [spring/app-config.xml] ```  ---  #### Analysis  The reason that the aforementioned `BeanDefinitionParsingException` is thrown is that `GenericGroovyXmlWebContextLoader` internally uses a `GroovyBeanDefinitionReader` for loading bean definitions from XML configuration files, and `GroovyBeanDefinitionReader` disables XML validation for its internal `XmlBeanDefinitionReader`.  The absence of XML validation apparently causes the `default` value of the `type` attribute (from the `spring-beans` XSD) in the `` tag to be ignored.  ---  #### Temporary Work-around  It is possible to circumvent this bug by explicitly setting the `type` attribute in the `` tag to the intended _default_ value which is `""org.springframework.beans.factory.annotation.Qualifier""`   - for example, as follows.  ```xml        ```  ---  #### Deliverables  1. [x] Ensure that it is possible to use all features of XML configuration when loading a `WebApplicationContext` in the TestContext framework if Groovy is on the classpath.  ---  **Affects:** 4.1 GA  **Reference URL:** http://stackoverflow.com/questions/28212993/spring-test-groovy-library-and-qualifier-tag-incompatibility  **Issue Links:** - #17366 GroovyBeanDefinitionReader does not fully support XML config files  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/55eb5b622c7ecb740298a3128dd7427cb1cbbfb6, https://github.com/spring-projects/spring-framework/commit/2ba1151b7fa3fcd3b0c964fc377ce57671eabb8b","closed","type: bug,","spring-projects-issues","2015-02-28T09:20:41Z","2019-01-13T05:42:03Z"
"","17364","EncodedResource does not include charset in equals() implementation [SPR-12767]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12767](https://jira.spring.io/browse/SPR-12767?redirect=false)** and commented  #### Status Quo  `EncodedResource` supports an `encoding` or a `Charset` for reading from the underlying `Resource`; however, the implementation of `equals()` is based solely on the `resource` and `encoding`. Thus, if a `Charset` is specified instead of an `encoding`, invocations of `equals()` will not work as expected.  #### Deliverables  1. [x] Include the `Charset` in the implementation of `equals()` in `EncodedResource`.    ---  **Affects:** 3.2.1  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/93c70b7440783e9b047a52ee3ff9dec5d45300a6, https://github.com/spring-projects/spring-framework/commit/1f9bc50c3e0e78e11754d4f5bbbba5e94a4b8d91, https://github.com/spring-projects/spring-framework/commit/6c93745f35a3f65337bac7258e846b0e69d8989d  **Backported to:** [3.2.14](https://github.com/spring-projects/spring-framework/milestone/102?closed=1)","closed","in: core,","spring-projects-issues","2015-02-28T08:01:16Z","2015-03-25T09:42:33Z"
"","17318","Open up TestPropertySourceUtils for public consumption [SPR-12721]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12721](https://jira.spring.io/browse/SPR-12721?redirect=false)** and commented  #### Status Quo  Spring Framework 4.1 introduced `TestPropertySourceUtils` for working with `@TestPropertySource`; however, the utilities in this class are package private.  In light of requirements from Spring Boot (and potentially other third-party frameworks), it would be beneficial to make such utilities _public_ so that the logic contained in them can be reused outside the `spring-test` module.  #### Deliverables  1. [x] Make `TestPropertySourceUtils` public. 2. [x] Make utility methods in `TestPropertySourceUtils` public as appropriate.  ---  **Affects:** 4.1 GA  **Issue Links:** - #17307 Preserve ordering of inlined properties in `@TestPropertySource`","closed","type: enhancement,","spring-projects-issues","2015-02-16T16:31:23Z","2019-01-13T05:42:22Z"
"","17219","Fix broken schedulerWithHsqlDataSource() test in QuartzSupportTests [SPR-12618]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12618](https://jira.spring.io/browse/SPR-12618?redirect=false)** and commented  #### Status Quo  Changes made in [GitHub commit b43fc7a](https://github.com/spring-projects/spring-framework/commit/b43fc7ac0f52adfe0874c338eda4bd4b2c1b3130) caused the `schedulerWithHsqlDataSource()` test in `QuartzSupportTests` to start failing.  Specifically, this test has been failing during _Performance Builds_ since build [#297](https://build.spring.io/browse/SPR-PERF-297/).  #### Assumptions  Since the commit in question upgraded the Quartz version, one could assume that it is necessary to upgrade the `quartz-hsql.sql` file (as was done in the fix for #16253); however, an initial attempt at this did not seem to resolve the problem. Thus further analysis is required.  #### Deliverables  1. Determine why `schedulerWithHsqlDataSource()` is failing after an upgrade to Quartz 2.2.1 and refactor tests and related configuration to ensure that all tests pass during Spring's Performance builds.  ---  **Affects:** 4.1 GA  **Issue Links:** - #16253 Fix broken tests in QuartzSupportTests  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/49e31c302b6c29ea6901ebc18846a501bcdfb673, https://github.com/spring-projects/spring-framework/commit/b82e9c4d46bb85a62b6097701d3847413b80bb33","closed","in: core,","spring-projects-issues","2015-01-11T14:39:49Z","2019-01-11T19:04:53Z"
"","17214","Handle exceptions properly in SpringJUnit4ClassRunner [SPR-12613]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12613](https://jira.spring.io/browse/SPR-12613?redirect=false)** and commented  #### Status Quo  `SpringJUnit4ClassRunner` has extended `BlockJUnit4ClassRunner` for several years and inherited default JUnit behavior from `BlockJUnit4ClassRunner`. At times, the default behavior needed to be copied and modified for special needs of the Spring TestContext Framework. For example, the `BlockJUnit4ClassRunner.runChild()` method has always been overridden in order to support Spring's `@IfProfileValue` annotation for _ignored_ tests.  In JUnit 4.9, the [implementation of `BlockJUnit4ClassRunner.runChild()`](https://github.com/junit-team/junit/blob/r4.9/src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java) changed such that the invocation of `BlockJUnit4ClassRunner.methodBlock()` is no longer wrapped in a try-catch block. The end result is a change in backwards compatibility. Namely, any exceptions thrown from `methodBlock()` are no longer properly associated with the currently executing test method. Consequently:  1. such failures are displayed as ""_unrooted_"" (i.e., not associated with the corresponding test method) 2. all subsequent test methods for the current test class are **not** executed at all 3. JUnit test listeners are not notified of such failures or of any subsequent test methods that should have been executed  In conjunction with #16527, `SpringJUnit4ClassRunner` was updated to use the aforementioned changes to `BlockJUnit4ClassRunner.runChild()` introduced in JUnit 4.9. As a consequence, this introduces a regression in `SpringJUnit4ClassRunner` which can be seen in test failures in [TimedSpringRunnerTests](https://build.spring.io/browse/SPR-PERF-JOB1-400/test/case/119934756).  ---  #### Deliverables  1. [x] Ensure that any exceptions thrown within `SpringJUnit4ClassRunner.methodBlock()` are properly associated with the currently executing test. 2. [x] Inform the JUnit team of the regression they introduced in JUnit 4.9  ---  **Affects:** 4.1 GA  **Issue Links:** - #16527 Require JUnit 4.9 or higher in the TestContext framework  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/b81c522ee1624f3d5f170fc3468f4600956950bd, https://github.com/spring-projects/spring-framework/commit/7d171e6722341419c5024647cbdcfe33f5eab6a8","closed","type: bug,","spring-projects-issues","2015-01-10T08:36:54Z","2019-01-13T05:42:53Z"
"","17197","Document type safety limitations of the CollectionFactory API [SPR-12596]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12596](https://jira.spring.io/browse/SPR-12596?redirect=false)** and commented  #### Status Quo  As discussed in #17142, the `CollectionFactory` API is not type-safe.  #### Deliverables  1. [x] Update the Javadoc for `CollectionFactory` to point out that the API is not necessarily type-safe.  ---  **Affects:** 4.1.3  **Issue Links:** - #17142 CollectionFactory API is not type-safe (_**""supersedes""**_)  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/4a49a6535d4bbb8b6e575c4fb2725c620cb8dfd9","closed","in: core,","spring-projects-issues","2015-01-04T12:33:35Z","2019-01-11T18:38:37Z"
"","17183","ExtendedBeanInfo test fails on JDK 8u40 Build b19 [SPR-12582]","**[Sam Brannen](https://jira.spring.io/secure/ViewProfile.jspa?name=sbrannen)** opened **[SPR-12582](https://jira.spring.io/browse/SPR-12582?redirect=false)** and commented  After upgrading the JDK to version _8u40 Build b19_ (i.e., `jdk-8u40-ea-bin-b19-macosx-x86_64-16_dec_2014.dmg` on a Mac), the `ExtendedBeanInfoTests.cornerSpr8937()` test fails with the following stack trace:  ``` java.lang.AssertionError:  Expected: is       but: was  	at org.hamcrest.MatcherAssert.assertThat(MatcherAssert.java:20) 	at org.junit.Assert.assertThat(Assert.java:956) 	at org.junit.Assert.assertThat(Assert.java:923) 	at org.springframework.beans.ExtendedBeanInfoTests.cornerSpr8937(ExtendedBeanInfoTests.java:847) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 	at java.lang.reflect.Method.invoke(Method.java:497) 	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) 	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) 	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) 	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) 	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78) 	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57) 	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) 	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) 	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) 	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) 	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) 	at org.junit.runners.ParentRunner.run(ParentRunner.java:363) 	at org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference.run(JUnit4TestReference.java:50) 	at org.eclipse.jdt.internal.junit.runner.TestExecution.run(TestExecution.java:38) 	at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:459) 	at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:675) 	at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.run(RemoteTestRunner.java:382) 	at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.main(RemoteTestRunner.java:192) ```  Note: this test passed against JDK _8u40 Build b11_ (i.e., installed via `jdk-8u40-ea-bin-b11-macosx-x86_64-21_oct_2014.dmg` on a Mac).  ---  **Affects:** 4.1.4  **Issue Links:** - #13577 java.beans.IntrospectionException: type mismatch between indexed and non-indexed methods:  - #17186 General compatibility with JDK 8u40  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/7492129236b3b37530a5f54cea0e3b38ff33c20f, https://github.com/spring-projects/spring-framework/commit/60cee7f52643c4a9f29cb081a1d50022bf17f955, https://github.com/spring-projects/spring-framework/commit/36da55128041778e98f52168d8806fe83b72a4c3","closed","in: core,","spring-projects-issues","2014-12-30T15:57:59Z","2019-01-11T18:24:13Z"
"","17343","Allow easier use of custom RequestMappingHandlerMapping in WebMvcConfigurationSupport  [SPR-12746]","**[Ryan Skow](https://jira.spring.io/secure/ViewProfile.jspa?name=skow)** opened **[SPR-12746](https://jira.spring.io/browse/SPR-12746?redirect=false)** and commented  The ability to customize `RequestMappingHandlerMapping` by overriding protected methods was added in #12468. However, `WebMvcConfigurationSupport` instantiates its own `RequestMappingHandlerMapping` and configures it with default settings all in a single method. This makes it hard to extend `WebMvcConfigurationSupport` to make it return an extension of `RequestMappingHandlerMapping` without copying and pasting a substantial chunk of code (in the `requestMappingHandlerMapping()` method).  It would be simple to extract the addition of the default configuration to `RequestMappingHandlerMapping` to a separate method, allowing extenders to avoid this duplication of internal Spring logic. A pull request will follow this issue.  ---  **Affects:** 4.1.5","closed","type: enhancement,","spring-projects-issues","2015-02-23T10:09:54Z","2019-01-11T21:26:52Z"
"","17733","Add an easy way to configure custom StompSubProtocolErrorHandler for StompSubProtocolHandler. [SPR-13142]","**[Rostislav Georgiev Georgiev](https://jira.spring.io/secure/ViewProfile.jspa?name=rgeorgiev)** opened **[SPR-13142](https://jira.spring.io/browse/SPR-13142?redirect=false)** and commented  Right now StompSubProtocolHandler is created inside WebMvcStompEndpointRegistry, but there is no easy way to configure it with custom StompSubProtocolErrorHandler. The only way I see is to use a BeanPostProcessor.    ---  **Affects:** 4.2 RC1  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/d1cc8bac5cc4612caaa42e625b80b789a9c1dd80  1 votes, 3 watchers","closed","type: enhancement,","spring-projects-issues","2015-06-18T00:55:47Z","2015-06-30T15:26:32Z"
"","17548","Same Origin check in both AbstractSockJSService and OriginHandshakeInterceptor is not working with Tyrus client [SPR-12956]","**[Rostislav Georgiev Georgiev](https://jira.spring.io/secure/ViewProfile.jspa?name=rgeorgiev)** opened **[SPR-12956](https://jira.spring.io/browse/SPR-12956?redirect=false)** and commented  Same Origin check in both AbstractSockJSService and OriginHandshakeInterceptor is delegating the check to WebUtils.isValidOrigin() . In this method a UriComponentsBuilder.fromHttpUrl(origin) is used, but if the origin header is set to only ""host:port"", which is the case with Tyrus client, an exception is thrown and validation is ""false"". So the only option is to configure the server with ""*"". Here a snippet from Tyrus' client Handshake.java class:  ```java public static void updateHostAndOrigin(final UpgradeRequest upgradeRequest) {         URI requestUri = upgradeRequest.getRequestURI();          String host = requestUri.getHost();         int port = requestUri.getPort();         if (upgradeRequest.isSecure()) {             if (port != 443 && port != -1) {                 host += "":"" + port;             }         } else {             if (port != 80 && port != -1) {                 host += "":"" + port;             }         }          Map> requestHeaders = upgradeRequest.getHeaders();         requestHeaders.put(UpgradeRequest.HOST, Collections.singletonList(host));         requestHeaders.put(UpgradeRequest.ORIGIN_HEADER, Collections.singletonList(host));     } ```  Maybe it's a bug in the Tyrus implementation, which is not appending the scheme. The Tyrus version used is 1.10.  In addition, some .NET libraries are specifying the request's schema as part of Origin value, which leads to Origin value like ""ws://host:port"" or ""wss://host:port"", which again fails the validation.   ---  **Affects:** 4.1.6  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/b44044e36f4a670006c803795b20a62c836f2975, https://github.com/spring-projects/spring-framework/commit/68ecb92d1f3f9599d54dd48a1feff7e7af07544f","closed","type: enhancement,","spring-projects-issues","2015-04-26T03:56:27Z","2015-05-26T01:15:03Z"
"","17547","Using StandardWebSocketClient it's not possible to customize ClientEndpointConfig before it's passed to WebSocketContainer.connectToServer method [SPR-12955]","**[Rostislav Georgiev Georgiev](https://jira.spring.io/secure/ViewProfile.jspa?name=rgeorgiev)** opened **[SPR-12955](https://jira.spring.io/browse/SPR-12955?redirect=false)** and commented  StandardWebSocketClient in it's doHandshakeInternal method is using ClientEndpointConfig.Builder to initialize ClientEndpointConfig and is passing it directly to WebSocketContainer.connectToServer method. ClientEndpointConfig has a UserProperties map,  which can used to pass additional Container specific configurations. E.g. for example Tomcat WebSocket container will check userProperties for ""org.apache.tomcat.websocket.SSL_CONTEXT"" to setup SSLEngine.  It would be nice to have a way to supply StandardWebSocketClient with custom UserProperties.   ---  **Affects:** 4.1.6  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/222f6998e4013370f6179ffdd8353b2e9afcd1f5","closed","type: enhancement,","spring-projects-issues","2015-04-25T04:07:34Z","2015-05-26T01:15:06Z"
"","17796","NullPointerException possible in DefaultSubscriptionRegistry [SPR-13204]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13204](https://jira.spring.io/browse/SPR-13204?redirect=false)** and commented  #17482 introduced support for a selector header expression on SUBSCRIBE frames so that messages from the destination cache are further filtered based on that selector expression. During that additional filtering a NullPointerException is possible if unsubscribe takes place concurrently and the session subscription has been removed.  ---  **Affects:** 4.2 RC1  **Issue Links:** - #17482 Support 'selector' header for subscriptions with SimpleBrokerMessageHandler  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/0b43e4e4f2ae8d59bcfb16b8d88c6a0c3a7b7ace","closed","type: bug,","spring-projects-issues","2015-07-06T14:06:27Z","2019-01-11T18:08:05Z"
