"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1232","4.0.x","我需要源码","closed","","lianyiwuming","2016-11-08T08:10:53Z","2016-11-08T08:19:59Z"
"","18878","MockRestServiceServerBuilder cannot be cached [SPR-14306]","**[Stéphane Nicoll](https://jira.spring.io/secure/ViewProfile.jspa?name=snicoll)** opened **[SPR-14306](https://jira.spring.io/browse/SPR-14306?redirect=false)** and commented  I am investigating the option of adding a `@RestClientTest` annotation in Spring Boot that would automatically configure a `RestTemplate` and `MockRestServiceServer`.  The default expectation managers throw an exception if you try to add a request after you have validated one, something like:  ``` java.lang.IllegalStateException: Cannot add more expectations after actual requests are made.  	at org.springframework.util.Assert.state(Assert.java:392) 	at org.springframework.test.web.client.AbstractRequestExpectationManager.expectRequest(AbstractRequestExpectationManager.java:60) 	at org.springframework.test.web.client.MockRestServiceServer.expect(MockRestServiceServer.java:112) 	at org.springframework.test.web.client.MockRestServiceServer.expect(MockRestServiceServer.java:95) ```  There is no way to ""reset"" the mock server at the end of the test so it looks like the only way to make this work is to create a new server instance per test.  My next move was to try to share the builder and simply call build in a `Before` annotated method but that does not work either as the builder shares an expectation manager by default, which means that every created server using the same builder share the same expectation manager.  Looking at the API, I find it weird that we can both use `ignoreExpectOrder` and `expectationManager` as those are mutually exclusive. Perhaps removing the latter and creating a fresh expectation manager would help? It also would be nice if a server instance could be reused for multiple tests with a public `reset` method that would reset the expectation manager.   ---  **Affects:** 4.3 RC2","closed","type: enhancement,","spring-projects-issues","2016-05-26T06:25:53Z","2016-06-10T09:19:10Z"
"","19188","spring bean容器初始化时存在循环依赖时错误提示信息不够准确 [SPR-14621]","**[stonefly](https://jira.spring.io/secure/ViewProfile.jspa?name=stonefly)** opened **[SPR-14621](https://jira.spring.io/browse/SPR-14621?redirect=false)** and commented  spring bean容器初始化时存在循环依赖时错误提示信息不够准确   ---  **Affects:** 4.1.9","closed","in: core,","spring-projects-issues","2016-08-24T08:53:18Z","2019-01-12T05:22:10Z"
"","19171","Doc: @Bean methods on @Configuration class returned from another @Bean method do not work [SPR-14602]","**[Steven Schlansker](https://jira.spring.io/secure/ViewProfile.jspa?name=stevenschlansker)** opened **[SPR-14602](https://jira.spring.io/browse/SPR-14602?redirect=false)** and commented  I have an `@Configuration` class which holds some internal configuration data.  It wants to instantiate a collaborating `@Configuration` class, hand off some data to it, and expects its collaborator to exist.  However, it seems that an `@Bean` method that returns a `@Configuration` class fails because its `BeanDefinition#getBeanClassName` is null, so `ConfigurationClassUtils#checkConfigurationClassCandidate` returns false.  ``` @RunWith(SpringRunner.class) @ContextConfiguration(classes=BeanDefinitionAutowireTest.Config.class) public class BeanDefinitionAutowireTest {      @Configuration     public static class InnerConfig {         @Bean         URI someUri() {             return URI.create(""/"");         }     }      @Configuration     public static class Config {         @Bean         public InnerConfig innerConfig() {             return new InnerConfig();         }     }      @Autowired     URI someUri;      @Test     public void testUri() {         assertNotNull(someUri);     } } ```  I feel that this should work.  If for some reason it can not, it should throw an exception or otherwise fail obviously, rather than silently discarding the definitions you expect.  (Note that this test case is a little simplified, in the real case I pass constructor arguments to `InnerConfig`, so making things static is not an option)  ---  **Affects:** 4.3.1  **Issue Links:** - #15258 Allow BeanDefinitionRegistryPostProcessor to register other BeanDefinitionRegistryPostProcessors - #16056 `@Configuration` imported via ImportBeanDefinitionRegistrar is not processed as configuration - #16345 `@Configuration` imported via `@ImportResource` is not processed  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/9b221f58b9afda33693934456659e3d8f8675d11, https://github.com/spring-projects/spring-framework/commit/6fe7e56598e7ad8fad52d7bec6c2f07d2483e3e5","closed","in: core,","spring-projects-issues","2016-08-18T23:01:31Z","2019-01-13T05:22:47Z"
"","19240","Spring 4.3.2 HibernateTemplate#findByNamedQuery isn't compatible with Hibernate 5.0 [SPR-14676]","**[Steve Storey](https://jira.spring.io/secure/ViewProfile.jspa?name=stevestorey)** opened **[SPR-14676](https://jira.spring.io/browse/SPR-14676?redirect=false)** and commented  https://github.com/spring-projects/spring-framework/blob/master/spring-orm/src/main/java/org/springframework/orm/hibernate5/HibernateTemplate.java#L958 attempts to be compatible with Hibernate 5.x, but because it's compiled against 5.2, the compiler then requires that the runtime method return a org.hibernate.query.Query instance, and thus when running with standard Spring Boot 1.4 versions, you get:  ``` java.lang.NoSuchMethodError: org.hibernate.Session.getNamedQuery(Ljava/lang/String;)Lorg/hibernate/query/Query;         at org.springframework.orm.hibernate5.HibernateTemplate$32.doInHibernate(HibernateTemplate.java:958)         at org.springframework.orm.hibernate5.HibernateTemplate$32.doInHibernate(HibernateTemplate.java:954)         at org.springframework.orm.hibernate5.HibernateTemplate.doExecute(HibernateTemplate.java:356)         at org.springframework.orm.hibernate5.HibernateTemplate.executeWithNativeSession(HibernateTemplate.java:323)         at org.springframework.orm.hibernate5.HibernateTemplate.findByNamedQuery(HibernateTemplate.java:954)         at example.HibernateTemplateBugTest.testFindByNamedQuery(HibernateTemplateBugTest.java:28) ```  in the attached reproduction test when run with simply  ``` mvn clean test ```  If however, you override the standard Hibernate version to 5.2.2 then the test succeeds by running  ``` mvn -Dhibernate.version=5.2.2.Final clean test ```  ---  **Affects:** 4.3.2  **Attachments:** - [spring-bugs.tar.gz](https://jira.spring.io/secure/attachment/23536/spring-bugs.tar.gz) (_1.54 kB_)  **Issue Links:** - #18996 HibernateTemplate not binary-compatible with Hibernate 5.0/5.1's Query type  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/12afc263a46b39886d7ff9918813a3dafd02a983, https://github.com/spring-projects/spring-framework/commit/d631b4cca9421898b1992301ec090300d82caace","closed","type: bug,","spring-projects-issues","2016-09-07T17:02:28Z","2019-01-11T18:21:22Z"
"","19175","OutOfMemoryError caused by nested UnsatisfiedDependencyExceptions [SPR-14607]","**[Stephan Neumann](https://jira.spring.io/secure/ViewProfile.jspa?name=stneuman)** opened **[SPR-14607](https://jira.spring.io/browse/SPR-14607?redirect=false)** and commented  The new error logging format of UnsatisfiedDependencyInjection introduced in Spring 4.3 can cause a OutOfMemoryError. When the constructor  ``` public UnsatisfiedDependencyException(String resourceDescription, String beanName, String propertyName, BeansException ex) {   this(resourceDescription, beanName, propertyName, (ex != null ? ex.getMessage() : """"));   initCause(ex); } ```  is used (for example when a field with an `@Inject` annotation can't be resolved), the exception message of the causing exception is included twice in the current exception message, once by UnsatisfiedDependencyException, once by NestedRuntimeException which is a superclass of UnsatisfiedDependencyException. The exception message format looks like this:  ``` org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name '': Unsatisfied dependency expressed through field '': ; nested exception is  ```  This makes it more than double the size of the message of the causing exception and causes exponential growth of memory consumption. If the nesting level is high enough the application will crash with an OutOfMemoryError instead of logging the root cause of the context creation failure, which is hardly the goal of the new logging format.  I suggest to change the constructor definition to:  ``` public UnsatisfiedDependencyException(String resourceDescription, String beanName, String propertyName, BeansException ex) {   this(resourceDescription, beanName, propertyName, """");   initCause(ex); } ```  This makes the causing exception message only be included once as nested exception text.  Example project to reproduce error & logoutput is attached.  ---  **Affects:** 4.3 GA  **Attachments:** - [error.log](https://jira.spring.io/secure/attachment/23508/error.log) (_269.31 kB_) - [UnsatisfiedDependencyException_OutOfMemory.zip](https://jira.spring.io/secure/attachment/23509/UnsatisfiedDependencyException_OutOfMemory.zip) (_10.02 kB_)  **Issue Links:** - #8389 Condense exception messages accumulated through recursion  1 votes, 3 watchers","closed","in: core,","spring-projects-issues","2016-08-19T10:16:47Z","2019-01-11T18:10:11Z"
"","19165","VersionResourceResolver-  Bug when CssLinkResourceTransformer handling relative links [SPR-14596]","**[Soufiane bentaja](https://jira.spring.io/secure/ViewProfile.jspa?name=sbe)** opened **[SPR-14596](https://jira.spring.io/browse/SPR-14596?redirect=false)** and commented  Two themes are used in the project structured like this:  - themes   |-- theme1   |- style.css (wich have url('d.png'))   |- d.png   |-- theme2   |- style.css (wich have url('d.png'))   |- d.png  When we are in the production (cacheResources is true), we detect that we have only one version of the file ""d.png"" stored in the cache and both style files refer to the same d.png file.  In the CachingResourceResolver, file are cached with reference (relativePath) witch explain why we get once cached d.png file.  As you can see bellow :  ```java protected String resolveUrlPathInternal(String resourceUrlPath, 			List locations, ResourceResolverChain chain) {  		String key = RESOLVED_URL_PATH_CACHE_KEY_PREFIX + resourceUrlPath; 		String resolvedUrlPath = this.cache.get(key, String.class);  		if (resolvedUrlPath != null) { 			if (logger.isTraceEnabled()) { 				logger.trace(""Found match""); 			} 			return resolvedUrlPath; 		}  		resolvedUrlPath = chain.resolveUrlPath(resourceUrlPath, locations); 		if (resolvedUrlPath != null) { 			if (logger.isTraceEnabled()) { 				logger.trace(""Putting resolved resource URL path in cache""); 			} 			this.cache.put(key, resolvedUrlPath); 		}  		return resolvedUrlPath; 	} ```  Our ResourceHandlerRegistry configuration :  ```java VersionResourceResolver versionResourceResolver = new VersionResourceResolver()         .addContentVersionStrategy(""/**""); registry.addResourceHandler(""/static/**"")         .addResourceLocations(""/static/"")         .setCachePeriod(cachePeriod)         .resourceChain(useCache)         .addResolver(versionResourceResolver); ```  ---  **Issue Links:** - #19166 CssLinkResourceTransformer is incompatible with ContentVersionStrategy when using Caching (_**""duplicates""**_)","closed","in: web,","spring-projects-issues","2016-08-17T16:13:29Z","2019-01-12T16:45:30Z"
"","19032","SpEL evaluator cannot convert LocalDate to String [SPR-14463]","**[Sola](https://jira.spring.io/secure/ViewProfile.jspa?name=sola)** opened **[SPR-14463](https://jira.spring.io/browse/SPR-14463?redirect=false)** and commented  the snippet below:  ```java ctx = new StandardEvaluationContext(LocalDate.now()); parser.parseExpression(""#root"").getValue(ctx, String.class); ```  will produce the exception:  ```java org.springframework.expression.spel.SpelEvaluationException: EL1001E:(pos 0): Type conversion problem, cannot convert from java.time.LocalDate to java.lang.String ```  even java.time.LocalDate has toString method.   ---  **Affects:** 4.3.1","closed","in: core,","spring-projects-issues","2016-07-14T15:17:14Z","2019-01-12T16:34:12Z"
"","18914","Improve MockMvc to follow redirects and forwards [SPR-14342]","**[Sofia](https://jira.spring.io/secure/ViewProfile.jspa?name=sofiaguyang)** opened **[SPR-14342](https://jira.spring.io/browse/SPR-14342?redirect=false)** and commented  It would be very convenient to improve MockMvc to follow redirects and forwards. `@dyser` showed me how I could use a ""forwarder"" result handler with `DefaultMockMvcBuilder`'s `alwaysDo`. But as you can see from the screenshot, only the forwarded url is set -- the request object is just disregarded. If I could get a reference to the new request object, I could do the forwarding to the new url and supply the new request object in the forwarder result handler.  ---  **Affects:** 4.3 GA  **Attachments:** - [mock dispatcher setting forwaded url to mock response.png](https://jira.spring.io/secure/attachment/23417/mock+dispatcher+setting+forwaded+url+to+mock+response.png) (_528.71 kB_)  **Issue Links:** - #19321 Actually support request forwarding in MockRequestDispatcher  0 votes, 5 watchers","closed","type: enhancement,","spring-projects-issues","2016-06-08T10:32:46Z","2019-01-11T16:04:58Z"
"","19955","JDBCTemplate queryForObject returning an empty list with null values [SPR-15392]","**[sneha ghosh](https://jira.spring.io/secure/ViewProfile.jspa?name=snehag)** opened **[SPR-15392](https://jira.spring.io/browse/SPR-15392?redirect=false)** and commented  JDBCTemplate.java We are calling this method from our application `@Override` public \ T queryForObject(String sql, Object[] args, int[] argTypes, Class\ requiredType) throws DataAccessException {      	return queryForObject(sql, args, argTypes, getSingleColumnRowMapper(requiredType));     }  the internal implementation would call: `@Override` public \ T queryForObject(String sql, Object[] args, int[] argTypes, RowMapper\ rowMapper) throws DataAccessException {      	List results = query(sql, args, argTypes, new RowMapperResultSetExtractor(rowMapper, 1));     	return DataAccessUtils.requiredSingleResult(results);     }  Result is being returned as an arrayList of size 1 with null values in it incase the database returns no records. this causes DataAccessUtils.requiredSingleResult(results) to throw a null pointer exception  when iterating over a null list. is there a solution for this ?      public static  T requiredSingleResult(Collection results) throws IncorrectResultSizeDataAccessException {     	int size = (results != null ? results.size() : 0);     	if (size == 0) {     		throw new EmptyResultDataAccessException(1);     	}     	if (results.size() > 1) {     		throw new IncorrectResultSizeDataAccessException(1, size);     	}     	return results.iterator().next();     }    ---  **Attachments:** - [SpringBug.PNG](https://jira.spring.io/secure/attachment/23497/SpringBug.PNG) (_10.77 kB_)","closed","in: data,","spring-projects-issues","2016-08-09T09:48:24Z","2019-01-11T14:41:36Z"
"","19359","EnableAsync javadoc not clear enough [SPR-14793]","**[Slava Semushin](https://jira.spring.io/secure/ViewProfile.jspa?name=slava.semushin)** opened **[SPR-14793](https://jira.spring.io/browse/SPR-14793?redirect=false)** and commented  The sentence  > To be used on `@Configuration` classes as follows, where MyAsyncBean is a user-defined type with one or more methods annotated with either Spring's `@Async` annotation ... > maybe understanding wrong.  For example, should I add `@EnableAsync` to all configuration classes that contain `@Async` beans? Is it possible to place `@EnableAsync` on one configuration and put the beans with `@Async` to another configuration?  Here is a quote from to Andy Wilkinson in gitter:  > They can be in separate locations > `@EnableAsync` needs to go on a `@Configuration` class  I think that documentation could be improved.  ---  **Reference URL:** http://docs.spring.io/spring/docs/4.3.x/javadoc-api/org/springframework/scheduling/annotation/EnableAsync.html  **Issue Links:** - #19447 Document supported return types for `@Async` methods  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/7a8bf8e9a53568bb19b4a23ab9e5aec819f30b30, https://github.com/spring-projects/spring-framework/commit/fe59bc26aba5cc430e8c14d3368ec05629553b63, https://github.com/spring-projects/spring-framework/commit/ab232a538650c78628b8ac5f36bfe9c8ce003c24  **Backported to:** [4.2.9](https://github.com/spring-projects/spring-framework/milestone/146?closed=1)","closed","type: task,","spring-projects-issues","2016-10-10T14:27:32Z","2019-01-13T05:19:33Z"
"","19033","Incorrect output from spring:message if using parameterized strings containing single quotes [SPR-14464]","**[Skylar Sutton](https://jira.spring.io/secure/ViewProfile.jspa?name=skylar.sutton@gmail.com)** opened **[SPR-14464](https://jira.spring.io/browse/SPR-14464?redirect=false)** and commented  Parametrized strings containing a single quote are not output correctly by the spring:message tag. In our testing removal of the single quote OR wrapping the tag and encoding the quote before spring:message begins processing eliminates the issue. We did not deep dive into the spring codebase to determine exact line number / failure, but the example below will exercise it.  1. Define an i18n messages.properties with a parameterized string that contains a single quote ('), ex:  ```java exit.label.thankyou=Merci d'utiliser le {0} ```  1. Define a JSP that uses spring:message to output said string, with a parameter  ```jsp     	  ```  1. Render the page, and note the message output displays incorrectly as:  ```java Merci d'utiliser le {0} ```  1. Change the message.properties entry and remove the single quote ('), ex:  ```jsp exit.label.thankyou=Merci d utiliser le {0} ```  1. Render the page, and note the message output now displays as expected:  ```jsp Merci d utiliser le Application Name (TM) ```    ---  **Affects:** 4.1.9, 4.2.7, 4.3.1","closed","status: declined,","spring-projects-issues","2016-07-14T18:17:33Z","2019-01-12T16:34:11Z"
"","19200","Unable to make ajax POST call for uploading file [SPR-14633]","**[shoaib](https://jira.spring.io/secure/ViewProfile.jspa?name=shoaib.aspire)** opened **[SPR-14633](https://jira.spring.io/browse/SPR-14633?redirect=false)** and commented  Hi,  I am trying to make a POST ajax call in spring  mvc for uploading file.  While making a call I get error saying ""Request method 'POST' not supported""  spring controller code:  ``` @RequestMapping(value = ""uploadFile"", method = RequestMethod.POST) 		public @ResponseBody HashMap uploadFileHandler(HttpServletRequest request) throws IOException { 		logger.debug(""Getting inside upload handler....................""); 		 MultipartHttpServletRequest multipartRequest = (MultipartHttpServletRequest) request; 		   MultipartFile multipartFile = multipartRequest.getFile(""file""); 		//MultipartFile multipartFile = request.getFile(""file""); 		   logger.debug(""Getting inside upload handler....................""+multipartFile); 		Long size = multipartFile.getSize();         String contentType = multipartFile.getContentType();         InputStream stream = multipartFile.getInputStream();         byte[] bytes = IOUtils.toByteArray(stream);         logger.debug(""Getting inside upload handler....................""+bytes);         HashMap map = new HashMap();         map.put(""fileoriginalsize"", size);         map.put(""contenttype"", contentType);         map.put(""base64"", new String(Base64Utils.encode(bytes)));                  logger.debug(""fileoriginalsize""+size);              return map; } ```  PFA.. ajax code and logs for same.  Though this seems to be a popular issue, I have been trying this out now for a very long tim, I suspect Spring ssecurity configuration might be one of the isssue.  Please provide your valuable pointers and help me in right direction.   ---  **Affects:** 4.2.5  **Attachments:** - [logs.txt](https://jira.spring.io/secure/attachment/23527/logs.txt) (_5.03 kB_) - [upload.jsp](https://jira.spring.io/secure/attachment/23526/upload.jsp) (_3.41 kB_)","closed","status: invalid,","spring-projects-issues","2016-08-28T07:39:19Z","2019-01-12T05:22:06Z"
"","19592","ResourceDatabasePopulator needs suppressing fallback seperator option [SPR-15025]","**[Shankar Krishna](https://jira.spring.io/secure/ViewProfile.jspa?name=krishnasdfw)** opened **[SPR-15025](https://jira.spring.io/browse/SPR-15025?redirect=false)** and commented  ResourceDatabasePopulator requires an option to have a strict treatment for separator setting. Suppress fallback boolean. Falling back to end of line separator has dangerous consequences - with a DELETE statement a single statement in a file, without semi colon separator had the entire table wiped out - as the where clause next line was not read before the statement was executed.   ---  **Affects:** 4.3.3","closed","status: bulk-closed,","spring-projects-issues","2016-12-16T00:28:16Z","2019-01-12T00:11:45Z"
"","19331","@lookup method injection method documentation [SPR-14765]","**[Shahid Zaman](https://jira.spring.io/secure/ViewProfile.jspa?name=shahid)** opened **[SPR-14765](https://jira.spring.io/browse/SPR-14765?redirect=false)** and commented  While there is a [section](http://docs.spring.io/spring/docs/current/spring-framework-reference/html/beans.html#beans-factory-method-injection) on Method injection in the documentation, the use of [@lookup](http://docs.spring.io/spring/docs/current/javadoc-api/org/springframework/beans/factory/annotation/Lookup.html) annotation is not shown.  Also may be the [Provider](http://docs.oracle.com/javaee/6/api/javax/inject/Provider.html) interface could also be mentioned as way to get instance of prototype scoped beans.   ---  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/642fbfba9fba453de045d16a4c927d69ab37b0e4, https://github.com/spring-projects/spring-framework/commit/1f92fc8d90def85ba902de0b475e725dc6f5ac8e, https://github.com/spring-projects/spring-framework/commit/684d6ab553c86808cc29ce452d8b95c53102fab4  **Backported to:** [4.2.9](https://github.com/spring-projects/spring-framework/milestone/146?closed=1)","closed","type: documentation,","spring-projects-issues","2016-09-29T06:10:32Z","2019-01-14T04:37:45Z"
"","19072","Allow configuring the message converter in HttpPutFormContentFilter [SPR-14503]","**[Serhii Hromovyi](https://jira.spring.io/secure/ViewProfile.jspa?name=hromovyi)** opened **[SPR-14503](https://jira.spring.io/browse/SPR-14503?redirect=false)** and commented  Hi,  we faced a problem using FormHttpMessageConverter.MultipartHttpOutputMessage while processing multipart request. Our case is very similar to #16724, but with the only difference - we operate with InputStreamResourse (getFilename always returns null) and filename of multipart is defined in Content-Disposition header. And when MultipartHttpOutputMessage invokes writeHeaders() method - header value is retrieved in ASCII encoding: byte[] headerValue = getAsciiBytes(headerValueString); In our case we have there filename, which contains cyrillic symbols, that are transformed to ""?"" afterwards. Is it ok, that ASCII encoding is using there? If so - is it possible to allow us at least to override this encoding? Cause now there is no possibility to do it.  ---  **Affects:** 4.2.6  **Issue Links:** - #16724 FormHttpMessageConverter writes ASCII encoded so that a multipart form data can not contain filenames with German Umlaute - #19115 HttpHeaders.setContentDispositionFormData() doesn't encode non-acsii characters correctly  1 votes, 5 watchers","closed","type: enhancement,","spring-projects-issues","2016-07-21T14:16:25Z","2019-01-14T04:38:34Z"
"","18903","Add a Basic Websocket Java Client with Reconnection capability as a new Package of Spring [SPR-14331]","**[Sergio Pinto](https://jira.spring.io/secure/ViewProfile.jspa?name=sergio%20p.)** opened **[SPR-14331](https://jira.spring.io/browse/SPR-14331?redirect=false)** and commented  I have found that sometime an application need a persistent connection with Websockets.  Since Spring 4.2 I see that integrated STOMP with WebSocket, I tried STOMP but I found that you can't reconnect. SockJS can do it, but is disabled when using STOMP with Spring and SockJS.  I think Spring must include a class to easy implement a websocket client that can reconnect.  Actually I implemented a Java client that initially was based in a JavaScript WebSocket implementation that can reconnect. I'm using a proxy pattern to add the _onReconnect()_ and_ reconnect()_ methods to my client. It is using an log-back algorithm to retry a new connection.  This could be a big plus to the websocket API with Spring.  Maybe the reconnect ability could be added to the STOMP version that actually is used in Spring latter.  Is possible add this to the Spring framework as a new package/class that could be used as a **out-of-the-box basic websocket cliet with reconnection**  ---  **Affects:** 4.3 RC2  **Issue Links:** - #17968 Excessive SockJS Reconnection Attempts  2 votes, 3 watchers","open","type: enhancement,","spring-projects-issues","2016-06-04T17:27:37Z","2020-08-24T18:19:11Z"
"","19022","MethodBasedEvaluationContext.lazyLoadArguments() execution fails for empty variable arguments call [SPR-14453]","**[Sergey Podgurskiy](https://jira.spring.io/secure/ViewProfile.jspa?name=spodgurskiy)** opened **[SPR-14453](https://jira.spring.io/browse/SPR-14453?redirect=false)** and commented  ``` java.lang.ArrayIndexOutOfBoundsException: 1 	at org.springframework.context.expression.MethodBasedEvaluationContext.lazyLoadArguments(MethodBasedEvaluationContext.java:93) 	at org.springframework.context.expression.MethodBasedEvaluationContext.lookupVariable(MethodBasedEvaluationContext.java:67) 	at org.springframework.context.expression.MethodBasedEvaluationContextTests.varArgEmpty(MethodBasedEvaluationContextTests.java:70) ```  ---  **Affects:** 4.2.7, 4.3.1  **Reference URL:** https://github.com/spring-projects/spring-framework/pull/1070  **Issue Links:** - #19122 ArrayIndexOutOfBoundsException in MethodBasedEvaluationContext  **Backported to:** [4.2.8](https://github.com/spring-projects/spring-framework/milestone/145?closed=1)","closed","in: core,","spring-projects-issues","2016-07-12T18:46:18Z","2019-01-11T16:24:35Z"
"","19226","Improve error handling in REST Controllers [SPR-14662]","**[Sergey Derugo](https://jira.spring.io/secure/ViewProfile.jspa?name=sergey.derugo)** opened **[SPR-14662](https://jira.spring.io/browse/SPR-14662?redirect=false)** and commented  It would be nice if there is default exception handler for REST controllers.  **Motivation** Nowadays JSON response is extremely popular for REST services. It's very nice that `@RestController` and `@ResponseBody` annotations provide an easy way to generate JSON response. But there is an issue if any exception occurs in such controllers - the server response contains HTML with the stack trace. This is not convenient for the consumers of such REST service because they expect to get JSON.  The workaround is either define error handler for each method(and this handler will convert the error to appropriate JSON) - but this is not convenient do it for each method. Another solution is implement such global exception handler using `@ControllerAdvice`  **Proposed solution** Default exception handler should exist in the Spring MVC for REST controllers. If there is an exception in the REST controller then it should return HTTP response with error JSON, for example:  { success: false, statusCode: 500, errorCode: ""\"" /*  auto-generated by Error handler to facilitate search in the log*/, errorDetails: ""Stack-trace etc."" /*Exception stack trace. Might be turned off for production deployment */ }  ---  **Issue Links:** - #17136 Provide a standard exception hierarchy  for REST end points","closed","type: enhancement,","spring-projects-issues","2016-09-02T15:42:17Z","2019-01-11T18:22:10Z"
"","18972","Proposal for a FactoryBean that create a bean while scanning the bean's class constructors like it is done for components during component scan [SPR-14401]","**[Sebastian Staack](https://jira.spring.io/secure/ViewProfile.jspa?name=stse)** opened **[SPR-14401](https://jira.spring.io/browse/SPR-14401?redirect=false)** and commented  The java config feature is great but sometimes it is a mess to configure a bean that has a constructor with a large parameter list or that depends on a bean that is itself dependent on an injection point (see following example).  ``` @RunWith(SpringJUnit4ClassRunner.class) @ContextConfiguration public class MyTest {      @Configuration     static class TestConfiguration {          @Bean(name = ""Logger"")         @Scope(SCOPE_PROTOTYPE)         public Logger createLogger(InjectionPoint injectionPoint) {             return LogManager.getLogger(injectionPoint.getMember()                                                       .getDeclaringClass());         }          @Bean(name = ""MyBean"")         @Scope(SCOPE_PROTOTYPE)         public MyBean createMyBean() throws NoSuchMethodException {             Constructor constructor = MyBeanImpl.class.getDeclaredConstructor(Logger.class);             InjectionPoint injectionPoint = new InjectionPoint(new MethodParameter(constructor,1));             return new MyBeanImpl(createLogger(injectionPoint));         }      }      @Autowired     private MyBean beanA;      @Autowired     private MyBean beanB;      @Test     public void test() {         assertThat(beanA, is(not(nullValue())));         assertThat(beanB, is(not(nullValue())));          assertThat(beanA, not(sameInstance(beanB)));     } } ```  With a FactoryBean like this  ``` package org.springframework.beans.factory.support;  import org.springframework.beans.factory.NoSuchBeanDefinitionException; import org.springframework.beans.factory.config.AbstractFactoryBean; import org.springframework.beans.factory.config.AutowireCapableBeanFactory;   public class AutowireFactoryBean extends AbstractFactoryBean {     private final Class clazz;      public AutowireFactoryBean(Class clazz) {         this.clazz = clazz;     }      @Override     public Class getObjectType() {         return clazz;     }      @Override     @SuppressWarnings(""unchecked"")     protected T createInstance() {         if (getBeanFactory() instanceof AbstractAutowireCapableBeanFactory) {             final AbstractAutowireCapableBeanFactory factory = (AbstractAutowireCapableBeanFactory) getBeanFactory();              return (T) factory.initializeBean(                     new ConstructorResolver(factory)                             .autowireConstructor(                                     clazz.getSimpleName(),                                     new RootBeanDefinition(clazz),                                     clazz.getDeclaredConstructors(),                                     null                             )                             .getWrappedInstance(),                     clazz.getSimpleName()             );         }          throw new NoSuchBeanDefinitionException(clazz);     }      @Override     protected void destroyInstance(T instance) throws Exception {         if (getBeanFactory() instanceof AutowireCapableBeanFactory) {             ((AutowireCapableBeanFactory) getBeanFactory()).destroyBean(instance);         }     } } ```  the above example would become a lot nicer  ``` @RunWith(SpringJUnit4ClassRunner.class) @ContextConfiguration public class MyTest {      @Configuration     static class TestConfiguration {          @Bean(name = ""Logger"")         @Scope(SCOPE_PROTOTYPE)         public Logger createLogger(InjectionPoint injectionPoint) {             return LogManager.getLogger(injectionPoint.getMember()                                                       .getDeclaringClass());         }          @Bean(name = ""MyBean"")         @Scope(SCOPE_PROTOTYPE)         public AutowireFactoryBean createMyBean() {             return new AutowireFactoryBean<>(MyBeanImpl.class);         }      }       @Autowired     private MyBean beanA;      @Autowired     private MyBean beanB;       @Test     public void test() {         assertThat(beanA, is(not(nullValue())));         assertThat(beanB, is(not(nullValue())));          assertThat(beanA, not(sameInstance(beanB)));     } } ```  It is not the problem to write that FactoryBean but as you see above the Factory bean must be in a package in the spring namespace. So if you think that this is also an improvement for other user, then I would be happy to have this feature in one of the upcoming spring releases.  I have attached a proof of concept to show that this proposal works.   ---  **Affects:** 4.3 GA  **Attachments:** - [spring-autowirefactorybean.zip](https://jira.spring.io/secure/attachment/23431/spring-autowirefactorybean.zip) (_35.89 kB_)","closed","status: bulk-closed,","spring-projects-issues","2016-06-25T21:58:44Z","2019-01-12T00:13:37Z"
