"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","882","SPR-13545: fix for nullpointer when receiving a request with an inval…","…id transport type  Tagging @nstarke who wrote the fuzzer that found the issue.","closed","","benkiefer","2015-10-07T02:51:34Z","2015-10-07T09:59:39Z"
"","18190","Skip Content-Disposition header when requestUri is the context and/or the servlet path [SPR-13612]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13612](https://jira.spring.io/browse/SPR-13612?redirect=false)** and commented  The fix to protect against RFD exploits (#18124) introduced a ""Content-Disposition:attachment;filename=f.txt"" response header for `@ResponseBody` methods where the URL appears to have an extension that is neither whitelisted by default nor explicitly registered by the application.  However if you name an application with Maven conventions my-app.1.3.4-SNAPSHOT and deploy to a servlet container a Content-Disposition header is added for the URLs that match the context and/or servlet path.  ---  **Affects:** 4.1.8, 4.2.2  **Issue Links:** - #18165 Skip Content-Disposition header when status != 2xx (_**""duplicates""**_)","closed","in: web,","spring-projects-issues","2015-10-27T03:03:06Z","2019-01-12T16:45:57Z"
"","18171","Make use of native doUpgrade operation in Undertow 1.3.5+ / 1.4 [SPR-13593]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13593](https://jira.spring.io/browse/SPR-13593?redirect=false)** and commented  Undertow 1.3.1+ provides an API for upgrading to WebSocket at runtime similar to Tomcat. See https://github.com/undertow-io/undertow/commit/9180db6057f5804231d94d2fc149f551e29d61f4.  ---  **Affects:** 4.2.2  **Issue Links:** - #18073 Require Undertow 1.3.5+, Tyrus 1.11+, Jetty 9.3+, Tomcat 8.5+ (_**""is depended on by""**_) - #18106 ClassNotFoundException: org.xnio.StreamConnection in Wildfly 10.0.0.CR2 - #18197 UndertowRequestUpgradeStrategy not compatible with WildFly anymore - #18360 Compatibility with JBoss EAP 7 - #18694 Initial compatibility with Undertow 2.0 - #18900 Compatibility with Undertow 1.4  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/8656186f60f680a0487fd238da6918fbe67724f6","closed","type: enhancement,","spring-projects-issues","2015-10-21T14:20:49Z","2019-01-11T17:37:08Z"
"","18165","Skip Content-Disposition header when status != 2xx [SPR-13588]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13588](https://jira.spring.io/browse/SPR-13588?redirect=false)** and commented  The fix to protect against RFD exploits (#18124) introduced a `""Content-Disposition:attachment;filename=f.txt""` response header for `@ResponseBody` methods where the URL appears to have an extension that is neither whitelisted by default nor explicitly registered by the application.  The URL checked for extensions is always the original URL even in the case of a forwarded request. In the case of an ERROR dispatch, Servlet containers are expected to set up the same request attributes as for forwarded requests.  Since Spring Boot relies on ERROR dispatches, a request with an unknown extension that results in an error can be rendered with a Content-Disposition header. This doesn't appear to cause issues in the browser but we should explore whether we can drop the header in such cases.  Note this issue was originally reported under [Spring Boot ticket #4220](https://github.com/spring-projects/spring-boot/issues/4220#issuecomment-148917466).  ---  **Affects:** 3.2.15, 4.1.8, 4.2.2  **Issue Links:** - #18190 Skip Content-Disposition header when requestUri is the context and/or the servlet path (_**""is duplicated by""**_) - #18164 Content-Disposition header causes download in browser for Spring Boot Actuator endpoints - #18124 Protect against RFD exploits  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/a8798970639033f5cdcf979c4ee7174ba00157f2, https://github.com/spring-projects/spring-framework/commit/050e79e45ed0cdab1a4e3f522e2e9b601a13d94d  **Backported to:** [4.1.9](https://github.com/spring-projects/spring-framework/milestone/133?closed=1), [3.2.16](https://github.com/spring-projects/spring-framework/milestone/104?closed=1)","closed","type: enhancement,","spring-projects-issues","2015-10-19T16:18:18Z","2019-01-11T17:37:55Z"
"","18164","Content-Disposition header causes download in browser for Spring Boot Actuator endpoints [SPR-13587]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13587](https://jira.spring.io/browse/SPR-13587?redirect=false)** and commented  The fix to protect against RFD exploits (#18124) introduced a `""Content-Disposition:attachment;filename=f.txt""` response header for `@ResponseBody` methods where the URL appears to have an extension that is neither whitelisted by default nor explicitly registered by the application.  Spring Boot Actuator [exposes many endpoints](http://docs.spring.io/spring-boot/docs/current/reference/html/production-ready-metrics.html#production-ready-system-metrics) that naturally contain dots and do not represent an extension. When such a URL is typed in a browser it causes content to be downloaded as ""f.txt"" rather than rendered.  Several example mappings in Boot:  ``` /metrics/{name:.*} /env/{name:.*} /diff/{fromVersion}/{toVersion} ```  We need to consider ways to make the fix for RFD more flexible with this case in mind (and possible others that might yet be reported), without compromising the security of the application. For once it looks like Spring Boot metrics aren't exposed to RFD since the metric name in the URL has to match a known metric so for example appending a random extension should result in a 404.  Note this issue was originally reported under [Spring Boot ticket #4220](https://github.com/spring-projects/spring-boot/issues/4220#issuecomment-149163004).  ---  **Affects:** 4.1.8, 4.2.2  **Issue Links:** - #18224 Content Disposition header being added on some urls...did not behave this way in 4.2.1 (_**""is duplicated by""**_) - #18207 Content-Disposition added for `@ResponseBody` methods explicitly mapped to "".html"" or other extensions - #18124 Protect against RFD exploits - #18220 Content-Disposition with fixed file name ""f.txt"" causes confusion - #18165 Skip Content-Disposition header when status != 2xx  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/1489e29d0c0d91da194721eb47f415118b00b532, https://github.com/spring-projects/spring-framework/commit/3a919a48d6941622ae1b08034630b0f565d0554b, https://github.com/spring-projects/spring-framework/commit/92ca537d6147eceedb39ee389ae9eac9c3d5a955  **Backported to:** [4.1.9](https://github.com/spring-projects/spring-framework/milestone/133?closed=1), [3.2.16](https://github.com/spring-projects/spring-framework/milestone/104?closed=1)  1 votes, 7 watchers","closed","type: bug,","spring-projects-issues","2015-10-19T16:07:22Z","2019-01-13T20:49:10Z"
"","18124","Protect against RFD exploits [SPR-13548]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13548](https://jira.spring.io/browse/SPR-13548?redirect=false)** and commented  For details and concrete examples of RFD attacks see the [RFD paper](https://www.trustwave.com/Resources/SpiderLabs-Blog/Reflected-File-Download---A-New-Web-Attack-Vector/) from Trustwave.  For information specific to Spring MVC see the [CVE-2015-5211](http://pivotal.io/security/cve-2015-5211) security report.  ---  **Affects:** 3.2.14, 4.1.7, 4.2.1  **Issue Links:** - #18224 Content Disposition header being added on some urls...did not behave this way in 4.2.1 - #18207 Content-Disposition added for `@ResponseBody` methods explicitly mapped to "".html"" or other extensions - #18164 Content-Disposition header causes download in browser for Spring Boot Actuator endpoints - #18165 Skip Content-Disposition header when status != 2xx - #18220 Content-Disposition with fixed file name ""f.txt"" causes confusion  **Backported to:** [4.1.8](https://github.com/spring-projects/spring-framework/milestone/132?closed=1), [3.2.15](https://github.com/spring-projects/spring-framework/milestone/103?closed=1)","closed","type: enhancement,","spring-projects-issues","2015-10-07T21:42:16Z","2019-01-13T05:35:15Z"
"","18044","Same origin stops working for WebSocket/SockJS once any origin is configured [SPR-13464]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13464](https://jira.spring.io/browse/SPR-13464?redirect=false)** and commented  In absence of CORS configuration, WebSocket/SockJS allows same origin. Once an origin is added, same origin stops working (e.g. breaks in Chrome which sends an Origin header even even for same origin).  This doesn't seem intuitive.  On the MVC side we seem to have chosen to allow same origin regardless, which makes more sense.  Let's consider this for 4.2.2.   ---  **Affects:** 4.2.1  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/299b7766fe97ed4d27747af5bf76bff667f792df","closed","type: enhancement,","spring-projects-issues","2015-09-13T14:42:18Z","2015-10-15T13:04:43Z"
"","18026","SseEmitter does not expose super constructor with timeout value [SPR-13446]","**[Rossen Stoyanchev](https://jira.spring.io/secure/ViewProfile.jspa?name=rstoya05-aop)** opened **[SPR-13446](https://jira.spring.io/browse/SPR-13446?redirect=false)** and commented  #17695 introduced a constructor with a timeout in ResponseBodyEmitter. The SseEmitter needs to provide that as well.  ---  **Affects:** 4.2.1  **Issue Links:** - #17695 Add request timeout to ResponseBodyEmitter  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/5f598586ea930a98fbe4209d25e8c667d197314e","closed","type: enhancement,","spring-projects-issues","2015-09-08T16:54:17Z","2019-01-11T17:24:50Z"
"","18218","JCache CacheResultInterceptor does not allow null values to be cached [SPR-13641]","**[Rosendo Alvarez](https://jira.spring.io/secure/ViewProfile.jspa?name=rjalvare)** opened **[SPR-13641](https://jira.spring.io/browse/SPR-13641?redirect=false)** and commented  When using jcache annotations to cache the results of a method call using ehcache as the caching implementation, the caching of null values is not allowed even though the JCacheCacheManager explicitly has an option to ""allowNullValues"".  App context:  ```xml   	  ```  dependencies:  ```xml  	org.springframework 	spring-context-support   	org.ehcache 	jcache 	1.0.1   	net.sf.ehcache 	ehcache 	2.10.1  ```  ```java @CacheResult(cacheName = ""reserveTypes"") public String findReserveTypeByName(String reserveTypeName) { 	if (reserveTypeName == ""test"") { logger.info(""This is not being retrieved from cache.""); 		return null; 	} return ""this will be cached""; } ```    ---  **Affects:** 4.2.2  **Attachments:** - [ehcache.xml](https://jira.spring.io/secure/attachment/23202/ehcache.xml) (_450 bytes_)  1 votes, 3 watchers","closed","type: enhancement,","spring-projects-issues","2015-11-04T13:42:30Z","2015-11-15T17:03:14Z"
"","18803","Reactor2TcpClient leaks threads on shutdown [SPR-14229]","**[Roel Rymenants](https://jira.spring.io/secure/ViewProfile.jspa?name=roel.rymenants)** opened **[SPR-14229](https://jira.spring.io/browse/SPR-14229?redirect=false)** and commented  When using the StompBrokerRelayMessageHandler in a container (e.g. tomcat) it seems the shutdown sequence leaks threads. More specifically it appears to be the reconnect functionality of the used NettyTcpClients which trigger a timer on the passed reactor.Environment, which leaks a thread per client. I'm not familiar enough with neither netty nor reactor-netty to have a further clue regarding how to proceed with solving the issue.  In order to reproduce, you can switch the spring-websocket-portfolio webapp to use a StompBrokerRelay with rabbitmq. Loading the webapp in tomcat, logging in and then unloading the app again shows the issue. You can find a heap dump attached.  ---  **Affects:** 4.2.5  **Reference URL:** https://github.com/rstoyanchev/spring-websocket-portfolio/  **Attachments:** - [spring-portfolio.hprof.7z](https://jira.spring.io/secure/attachment/23384/spring-portfolio.hprof.7z) (_7.38 MB_)  **Issue Links:** - #18805 Reactor2TcpClient does not remove TcpClient instances after connection closed - #19601 Reactor2StompTcpClient should use a shared EventLoopGroup  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/bd40a93604bbff9e41085639628114fc0c0898c2, https://github.com/spring-projects/spring-framework/commit/f7ace544884762e40d2179ca37a1f1aaf03a09b5","closed","type: bug,","spring-projects-issues","2016-04-28T13:10:00Z","2019-01-11T17:07:50Z"
"","18506","Upgrade to CGLIB 3.2.2 [SPR-13934]","**[Rodrigo Ezequiel Merino](https://jira.spring.io/secure/ViewProfile.jspa?name=rodro83)** opened **[SPR-13934](https://jira.spring.io/browse/SPR-13934?redirect=false)** and commented  The next patch version of cglib has been requested (https://github.com/cglib/cglib/issues/61) which provides a fix (https://github.com/cglib/cglib/pull/50) for a permgen memory leak.  It would be great if this upgrade can also be done in the 4.1.x line.  Ref: * #15202 * http://forum.spring.io/forum/spring-projects/container/12267-java-lang-outofmemoryerror-permgen-space  ---  **Affects:** 4.2.4  **Reference URL:** #15202  **Issue Links:** - #15202 CGLIB PermGen memory leaks under Karaf - #17937 Upgrade to CGLIB 3.2 - #18609 Upgrade to ASM 5.1 - #18958 Upgrade to CGLIB 3.2.4 - #19713 Upgrade to CGLIB 3.2.5  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/dc7ec441886dc39fed8581000c985d355aff6ca8, https://github.com/spring-projects/spring-framework/commit/2b6ec6a85eb7d103ffde9df1e757b78521f35220","closed","in: core,","spring-projects-issues","2016-02-09T16:59:22Z","2019-01-14T04:40:24Z"
"","18758","Component scanning does not find sub-packages in EAR on Weblogic 12.2.x [SPR-14187]","**[Robson Vargas Farias](https://jira.spring.io/secure/ViewProfile.jspa?name=robsonfarias)** opened **[SPR-14187](https://jira.spring.io/browse/SPR-14187?redirect=false)** and commented  I've an EAR application which contains a simple message-driven bean that receive data from a queue on weblogic; this MDB is intercepted by SpringBeanAutowiringInterceptor in order to inject a `@Autowired` bean, but, I'm receiving an exception:  Caused By: org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type [com.test.beans.bo.SampleBO] found for dependency: expected at least 1 bean which qualifies as autowire candidate for this dependency. Dependency annotations: {`@org`.springframework.beans.factory.annotation.Autowired(required=true)}  My configuration is:  ```xml  ```  The strange is: if I change the base package to the exactly package where my bean is on it works fine. Sample:  ```xml  ```  Suggesting that the issue is related to the sub-packages scanning.  my ref context:  ```xml   	 		 	  ```  my app config:  ```xml    	 	   ```  Tested on: Weblogic version: 12.2.x and lastest versions of Spring 4.x and 5.x (as shared libraries)  ---  **Affects:** 4.1.7  **Issue Links:** - #17825 Compatibility with WebLogic 12.2.1 / Tyrus 1.11  1 votes, 4 watchers","closed","status: bulk-closed,","spring-projects-issues","2016-04-18T20:05:16Z","2019-01-12T00:14:30Z"
"","18550","AbstractAnnotationConfigDispatcherServletInitializer without root context causes error in WebApplicationContextUtils [SPR-13978]","**[Robin Sander](https://jira.spring.io/secure/ViewProfile.jspa?name=robin)** opened **[SPR-13978](https://jira.spring.io/browse/SPR-13978?redirect=false)** and commented  If `AbstractAnnotationConfigDispatcherServletInitializer` is extended without defining any root configuration classes (`getRootConfigClasses()` returning null) no root application context is created which seems to cause an exception in `WebApplicationContextUtils.getRequiredWebApplicationContext()` later on. My assumption is that no application context is registered in the servlet context by this setup or, because the exception occurs in a `ServletContextListener`, there's a race condition. It should be noted that the error does _not_ occur with a different setup (implementing `WebApplicationInitializer` directly). I will add a test project soon.   ---  **Affects:** 4.2.4  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/3df66d023ce9af988cc5e192b8de04422b7c1719","closed","status: declined,","spring-projects-issues","2016-02-24T16:43:59Z","2019-01-12T16:22:17Z"
"","18384","There sould be a BeanUtils.mergeProperties [SPR-13811]","**[Roberto Barros da Silva Costa](https://jira.spring.io/secure/ViewProfile.jspa?name=robertobsc)** opened **[SPR-13811](https://jira.spring.io/browse/SPR-13811?redirect=false)** and commented  BeanUtils.copyProperties is not enought when there's two pojos of the same class that sould have it properties unified in just one object.  Although there are some simple solutions over the web with reflection to do it, i think its nice if you guys add a mergeProperties method to do that so we don´t need to code or copy this function in our projects.   ---  **Affects:** 4.2.4","closed","status: bulk-closed,","spring-projects-issues","2015-12-21T15:57:27Z","2019-01-12T02:44:33Z"
"","18806","Add common non standard headers to HttpHeaders [SPR-14232]","**[Robert Winkler](https://jira.spring.io/secure/ViewProfile.jspa?name=robwin)** opened **[SPR-14232](https://jira.spring.io/browse/SPR-14232?redirect=false)** and commented  Hello,  I think it would be nice if some common non standard HTTP headers could be added to HttpHeaders like:  public static final String X_HTTP_METHOD_OVERRIDE_HEADER = ""X-HTTP-Method-Override"" public static final String X_CONTENT_TYPE_OPTIONS = ""X-Content-Type-Options""; public static final String X_DO_NOT_TRACK = ""X-Do-Not-Track""; public static final String X_FORWARDED_FOR = ""X-Forwarded-For""; public static final String X_FORWARDED_PROTO = ""X-Forwarded-Proto""; public static final String X_FRAME_OPTIONS = ""X-Frame-Options""; public static final String X_POWERED_BY = ""X-Powered-By""; public static final String X_REQUESTED_WITH = ""X-Requested-With""; public static final String X_XSS_PROTECTION = ""X-XSS-Protection"";  What do you think?  ---  **Affects:** 4.2.5  **Issue Links:** - #18802 Add get/set-IfUnmodifiedSince, get/set-IfMatch methods on HttpHeaders","closed","type: enhancement,","spring-projects-issues","2016-04-29T06:32:45Z","2019-01-11T17:06:34Z"
"","18779","ResponseEntity should allow the usage of unassigned HTTP status codes [SPR-14205]","**[Robert Winkler](https://jira.spring.io/secure/ViewProfile.jspa?name=robwin)** opened **[SPR-14205](https://jira.spring.io/browse/SPR-14205?redirect=false)** and commented  Hello,  the current implementation of the ResponseEntity does not allow the usage of unassigned HTTP status codes, because of the HttpStatus enum which contains only IANA registered HTTP Status codes.  But the HTTP specification allows the usage of new/extension/unassigned status codes. See: http://tools.ietf.org/html/rfc7231#section-6 and http://tools.ietf.org/html/rfc7231#section-8.2.2 Unfortunately, custom status codes are sometimes used by RESTful APIs.  It would be nice if the ResponseEntity would allow custom status codes. The ResponseEntity needs a constructor or builder method which excepts custom status codes.  The IANA list shows the codes which are unassigned: http://www.iana.org/assignments/http-status-codes/http-status-codes.xhtml  ---  **Affects:** 4.2.5  **Issue Links:** - #18350 Regression: HttpEntityMethodProcessor does not allow other Http methods than defined in the HttpMethod Enum - #18642 Support for HTTP Vary configuration (e.g. in reaction to locale-based rendering) - #16374 Provide builders for HttpEntity and ResponseEntity - #20529 RestTemplate doesn't consistently tolerate unknown HTTP status codes - #20622 Returning non-standard HTTP status code causes exceptions on WebFlux - #20913 ServerResponse should allow the usage of unassigned HTTP status codes  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/d06188ed4df6abc884bf2b37f72e21a668f64aaa  0 votes, 6 watchers","closed","type: enhancement,","spring-projects-issues","2016-04-22T12:48:54Z","2021-05-25T15:21:37Z"
"","18350","Regression: HttpEntityMethodProcessor does not allow other Http methods than defined in the HttpMethod Enum  [SPR-13776]","**[Robert Winkler](https://jira.spring.io/secure/ViewProfile.jspa?name=robwin)** opened **[SPR-13776](https://jira.spring.io/browse/SPR-13776?redirect=false)** and commented  The following commit ""https://github.com/spring-projects/spring-framework/commit/11b4e3be2cef95d398a2e1e432786b0b1a3b7f3c"" did change the way how the `HttpEntityMethodProcessor.handleReturnValue()` method checks if the current `ServletRequest().getMethod()` equals `HttpMethod.GET`. The current implementation invokes `HttpMethod.valueOf(getRequest().getMethod())` now and does not allow HTTP methods like WebDav's ""PROPFIND"" anymore.  Currently we can't use the Spring Framework anymore to provide a CalDav, CardDav application using the Miltion.io framework.  A PROPFIND requests fails with `java.lang.IllegalArgumentException, Message: No enum constant org.springframework.http.HttpMethod.PROPFIND` now.  ---  **Affects:** 4.2.3  **Reference URL:** https://github.com/spring-projects/spring-framework/blob/11b4e3be2cef95d398a2e1e432786b0b1a3b7f3c/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/HttpEntityMethodProcessor.java#L175  **Issue Links:** - #9476 Allow  DispatcherServlet/ServletWrappingController to work with the extended WebDAV methods (_**""is depended on by""**_) - #18779 ResponseEntity should allow the usage of unassigned HTTP status codes - #18881 Spring Web should process requests with empty/invalid mime type - #19202 Consistent comma splitting without regex overhead (e.g. in MediaType/MimeType)","closed","type: bug,","spring-projects-issues","2015-12-08T12:46:29Z","2019-01-11T19:28:50Z"
"","18809","FastByteArrayInputStream read( byte[] ) wrong return value [SPR-14236]","**[Robert Thaler](https://jira.spring.io/secure/ViewProfile.jspa?name=rthaler)** opened **[SPR-14236](https://jira.spring.io/browse/SPR-14236?redirect=false)** and commented  read( byte[] ) method result is one byte less than actually read.  Sample: 10 bytes copied to buffer but read returns 9  ```java FastByteArrayOutputStream out = new FastByteArrayOutputStream();  out.write( ""1234567890"".getBytes() ); out.close(); int size = out.size();  byte[] buffer = new byte[50]; int count = out.getInputStream().read( buffer ); ```  ---  **Affects:** 4.2.5  **Issue Links:** - #18783 FastByteArrayInputStream.read returns  incorrect result (_**""duplicates""**_)","closed","in: core,","spring-projects-issues","2016-04-30T07:41:56Z","2019-01-12T16:45:39Z"
"","18187","ConcurrentModificationException during high load - Spring Web REST [SPR-13609]","**[Robert Johansson](https://jira.spring.io/secure/ViewProfile.jspa?name=robjoh)** opened **[SPR-13609](https://jira.spring.io/browse/SPR-13609?redirect=false)** and commented  When running load tests on a rest service, each request has random xml content, following exception occurs occasionally. It seems as the higher load the more likely that it occurs.  Current implementation in Spring for unmarshal xml to java objects does not seem to be thread safe?  _13:23:38,314 ERROR [org.apache.catalina.core.ContainerBase.[jboss.web].[default-host].[/fault-code-translation].[SpringApplication]] (http-/0.0.0.0:14080-36) JBWEB000236: Servlet.service() for servlet SpringApplication threw exception: java.util.ConcurrentModificationException at java.util.ArrayList$Itr.checkForComodification(ArrayList.java:901) [rt.jar:1.8.0_31] at java.util.ArrayList$Itr.next(ArrayList.java:851) [rt.jar:1.8.0_31] at com.sun.xml.bind.v2.runtime.reflect.Lister$CollectionLister$1.next(Lister.java:288) at com.sun.xml.bind.v2.runtime.property.ArrayElementProperty.serializeListBody(ArrayElementProperty.java:139) at com.sun.xml.bind.v2.runtime.property.ArrayERProperty.serializeBody(ArrayERProperty.java:159) at com.sun.xml.bind.v2.runtime.ClassBeanInfoImpl.serializeBody(ClassBeanInfoImpl.java:358) at com.sun.xml.bind.v2.runtime.XMLSerializer.childAsSoleContent(XMLSerializer.java:593) at com.sun.xml.bind.v2.runtime.ClassBeanInfoImpl.serializeRoot(ClassBeanInfoImpl.java:340) at com.sun.xml.bind.v2.runtime.XMLSerializer.childAsRoot(XMLSerializer.java:494) at com.sun.xml.bind.v2.runtime.MarshallerImpl.write(MarshallerImpl.java:323) at com.sun.xml.bind.v2.runtime.MarshallerImpl.marshal(MarshallerImpl.java:251) at org.springframework.http.converter.xml.Jaxb2RootElementHttpMessageConverter.writeToResult(Jaxb2RootElementHttpMessageConverter.java:181) [spring-web-4.1.7.RELEASE.jar:4.1.7.RELEASE] at org.springframework.http.converter.xml.AbstractXmlHttpMessageConverter.writeInternal(AbstractXmlHttpMessageConverter.java:66) [spring-web-4.1.7.RELEASE.jar:4.1.7.RELEASE] at org.springframework.http.converter.AbstractHttpMessageConverter.write(AbstractHttpMessageConverter.java:208) [spring-web-4.1.7.RELEASE.jar:4.1.7.RELEASE] at org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.writeWithMessageConverters(AbstractMessageConverterMethodProcessor.java:161) [spring-webmvc-4.1.7.RELEASE.jar:4.1.7.RELEASE] at org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor.writeWithMessageConverters(AbstractMessageConverterMethodProcessor.java:101) [spring-webmvc-4.1.7.RELEASE.jar:4.1.7.RELEASE]_  ```java import org.springframework.web.bind.annotation.*  APPLICATION_XML_V1 = ""application/vnd.nnn.nnn.nnn.v1+xml""  @RequestMapping(         value = ""/{language}/batchtranslation"",         method = RequestMethod.POST,        consumes = {MediaType.APPLICATION_XML_V1}) public Response translateBatchForLanguage_1_0(@PathVariable(""language"") String language,                                                    @RequestBody String body){     // Implementation code } ```    ---  **Affects:** 4.1.7  **Reference URL:** http://stackoverflow.com/questions/32883373/concurrentmodificationexception-during-high-load-spring-web-rest","closed","status: bulk-closed,","spring-projects-issues","2015-10-26T08:29:34Z","2020-06-23T09:21:07Z"
"","18175","How does make HTTPRequest as Restlet? [SPR-13597]","**[ROBERSON SATHLER NASCIMENTO](https://jira.spring.io/secure/ViewProfile.jspa?name=robersonsn)** opened **[SPR-13597](https://jira.spring.io/browse/SPR-13597?redirect=false)** and commented  I need to simulate a HTTP request on specific external site like DHC by Restlet extension of google. On DHC works fine, I got the information that I need. Let's go the parameters.  Authorization: Basic c29sdWNvZXM6MjAxMjEz Content-Type: application/x-www-form-urlencoded Content-Length: 46 Body: tipo_periodo=1&data_ultimo=90&filtro_empresa=0  I'm using groovy grails 3.0.4 Which plugin would I choice?  Any help me?   --- No further details from [SPR-13597](https://jira.spring.io/browse/SPR-13597?redirect=false)","closed","status: invalid,","spring-projects-issues","2015-10-22T13:45:27Z","2019-01-12T05:23:36Z"
"","18820","AntPathMatcher Regression for trimTokens=true [SPR-14247]","**[Rob Winch](https://jira.spring.io/secure/ViewProfile.jspa?name=rwinch)** opened **[SPR-14247](https://jira.spring.io/browse/SPR-14247?redirect=false)** and commented  In Spring 4.2.5.RELASE the following test passes:  ``` AntPathMatcher matcher = new AntPathMatcher(); assertTrue(matcher.match(""/foo/bar"", ""/foo /bar"")); ```  In Spring 4.2.0.RC1 the test fails. This seems to be related to #18487  See [e77ff3c99](https://github.com/spring-projects/spring-framework/commit/e77ff3c9911878b4e182476fdedaabda6f55ab69#diff-74d20e28abecee1faf5db4fe6207885bL324)  ---  **Affects:** 4.3 RC1  **Issue Links:** - #18487 Speed up AntPathMatcher by doing prefix-match  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/147a35f4f1fb00d3b22e994d48aeef5c19b399cb, https://github.com/spring-projects/spring-framework/commit/3c92ddc94b04f1dc057125d336e5220c92351442, https://github.com/spring-projects/spring-framework/commit/d11c624fb024289d04d16a9f2ebf7c0960ee6e27","closed","in: core,","spring-projects-issues","2016-05-04T19:42:34Z","2019-01-11T17:05:55Z"
"","17890","AbstractAdvisorAutoProxyCreator should consistently detect package-visible methods [SPR-14174]","**[Rob Winch](https://jira.spring.io/secure/ViewProfile.jspa?name=rwinch)** opened **[SPR-14174](https://jira.spring.io/browse/SPR-14174?redirect=false)** and commented  It would be nice if Spring's `AbstractAdvisorAutoProxyCreator` would support package scope methods. This has become increasingly important for Boot style applications which often use default methods. For example, the controller below is not secured due to the fact that package scope method is used:  ```java @RestController public class AdminController {  	@PreAuthorize(""hasRole('ADMIN')"") 	@RequestMapping(""/admin/"") 	String index() { 		return ""Admin""; 	} } ```  Right now this appears to be blocked by the fact that `AopUtils.canApply` only checks public methods since it uses [methods = clazz.getMethods()](https://github.com/spring-projects/spring-framework/blob/v4.3.0.RC1/spring-aop/src/main/java/org/springframework/aop/support/AopUtils.java#L233)   ---  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/999112216d46d95119b520dcef928cb7924370dc","closed","type: enhancement,","spring-projects-issues","2016-04-14T17:28:27Z","2016-05-06T13:55:30Z"
"","18393","Provide MockMvc support for Stateful HttpSession [SPR-13820]","**[Rob Winch](https://jira.spring.io/secure/ViewProfile.jspa?name=rwinch)** opened **[SPR-13820](https://jira.spring.io/browse/SPR-13820?redirect=false)** and commented  In some instances it would be nice to provide support for stateful HttpSessions with `MockMvc`. I've had a few questions on SO about this ([one example](http://stackoverflow.com/questions/32897406/how-can-i-share-a-mockmvc-session-with-htmlunit/32910451#32910451)).  An example of how this could be done:  ```java  MockMvc mvc = ...     .apply(statefulSessions())     .build();   public class StatefulSessionSetup extends MockMvcConfigurerAdapter implements RequestPostProcessor, ResultHandler {  	private HttpSession session;  	private StatefulSessionSetup() { 	} 	public void afterConfigurerAdded(ConfigurableMockMvcBuilder builder) { 		builder.alwaysDo(this); 	} 	public RequestPostProcessor beforeMockMvcCreated(ConfigurableMockMvcBuilder builder, WebApplicationContext cxt) { 		return this; 	} 	public MockHttpServletRequest postProcessRequest(MockHttpServletRequest request) { 		if(session != null) { 			request.setSession(session); 		} 		return request; 	} 	public void handle(MvcResult result) throws Exception { 		this.session = result.getRequest().getSession(false); 	}  	public static MockMvcConfigurer statefulSessions() { 		return new StatefulSessionSetup(); 	} } ```  This isn't extremely well thought out, so it may be wise to organize the code better (i.e. separating the implementation for each interface), but this should get the idea across.  ---  **Affects:** 4.3.3  **Reference URL:** http://stackoverflow.com/questions/32897406/how-can-i-share-a-mockmvc-session-with-htmlunit/32910451#32910451  **Issue Links:** - #18391 Extract MockHttp from MockMvc  **Referenced from:** commits https://github.com/spring-projects/spring-framework/commit/f5d2b88e3f86d9475acf4f07941690739da535f5  1 votes, 4 watchers","closed","type: enhancement,","spring-projects-issues","2015-12-24T21:10:03Z","2019-01-11T18:33:23Z"
